,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),,0.05,0.25762241107108286,0.9833333333333332,0.1488262910798122,Transformations - Charged off
1,DecisionTreeClassifier(random_state=12),,0.05,0.1563482197865897,0.12572195282126492,0.20725743348982784,Transformations - Charged off
2,SVC(random_state=12),,0.05,0.2579055260187069,0.9928571428571429,0.1488262910798122,Transformations - Charged off
3,RandomForestClassifier(random_state=12),,0.05,0.2576669562669652,0.9816666666666667,0.1488262910798122,Transformations - Charged off
4,LogisticRegression(random_state=12),,0.05,0.2572667339165001,0.9774725274725276,0.1488262910798122,Transformations - Charged off
5,MLPClassifier(random_state=12),,0.1,0.2556146708741254,0.9435714285714285,0.1488262910798122,Transformations - Charged off
6,DecisionTreeClassifier(random_state=12),,0.1,0.13771276513992664,0.09302037072633947,0.2656885758998435,Transformations - Charged off
7,SVC(random_state=12),,0.1,0.2575822818224095,0.9845238095238095,0.1488262910798122,Transformations - Charged off
8,RandomForestClassifier(random_state=12),,0.1,0.2567090804753769,0.9572802197802197,0.1488262910798122,Transformations - Charged off
9,LogisticRegression(random_state=12),,0.1,0.25638705474628154,0.9206410256410257,0.1502151799687011,Transformations - Charged off
10,MLPClassifier(random_state=12),,0.25,0.24117676420989734,0.604794128379321,0.15577073552425663,Transformations - Charged off
11,DecisionTreeClassifier(random_state=12),,0.25,0.1168487820327488,0.06854207675484893,0.3978286384976526,Transformations - Charged off
12,SVC(random_state=12),,0.25,0.25793795897699223,0.9916666666666666,0.1488262910798122,Transformations - Charged off
13,RandomForestClassifier(random_state=12),,0.25,0.22021306535199575,0.32986351455572027,0.1669014084507042,Transformations - Charged off
14,LogisticRegression(random_state=12),,0.25,0.2401798528966113,0.581919328453014,0.15299295774647886,Transformations - Charged off
15,MLPClassifier(random_state=12),,0.5,0.11119277572462313,0.06310873620015435,0.6019366197183099,Transformations - Charged off
16,DecisionTreeClassifier(random_state=12),,0.5,0.09284652587644777,0.05078760035548648,0.5410798122065726,Transformations - Charged off
17,SVC(random_state=12),,0.5,0.17113537443470767,0.1551268343306804,0.2488262910798122,Transformations - Charged off
18,RandomForestClassifier(random_state=12),,0.5,0.10981655969264055,0.06137247350085571,0.5216158059467919,Transformations - Charged off
19,LogisticRegression(random_state=12),,0.5,0.12158153431637087,0.07120830217498594,0.41858372456964005,Transformations - Charged off
