,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),,0.01,0.0,0.0,0.0,Transformations - Charged off
1,MLPClassifier(random_state=12),,0.01,0.0,0.0,0.0,Transformations - Charged off
2,DecisionTreeClassifier(random_state=12),,0.01,0.010644257703081231,0.007573632538569425,0.01818181818181818,Transformations - Charged off
3,DecisionTreeClassifier(random_state=12),,0.01,0.009878048780487805,0.0067816091954022995,0.01818181818181818,Transformations - Charged off
4,SVC(random_state=12),,0.01,0.0,0.0,0.0,Transformations - Charged off
5,SVC(random_state=12),,0.01,0.0,0.0,0.0,Transformations - Charged off
6,RandomForestClassifier(random_state=12),,0.01,0.0,0.0,0.0,Transformations - Charged off
7,RandomForestClassifier(random_state=12),,0.01,0.0,0.0,0.0,Transformations - Charged off
8,LogisticRegression(random_state=12),,0.01,0.0,0.0,0.0,Transformations - Charged off
9,LogisticRegression(random_state=12),,0.01,0.0,0.0,0.0,Transformations - Charged off
10,MLPClassifier(random_state=12),,0.05,0.0,0.0,0.0,Transformations - Charged off
11,MLPClassifier(random_state=12),,0.05,0.0,0.0,0.0,Transformations - Charged off
12,DecisionTreeClassifier(random_state=12),,0.05,0.01326587800458108,0.007322453847372018,0.07121212121212121,Transformations - Charged off
13,DecisionTreeClassifier(random_state=12),,0.05,0.01206155370334475,0.006582616601520849,0.07196969696969698,Transformations - Charged off
14,SVC(random_state=12),,0.05,0.0,0.0,0.0,Transformations - Charged off
15,SVC(random_state=12),,0.05,0.0,0.0,0.0,Transformations - Charged off
16,RandomForestClassifier(random_state=12),,0.05,0.0,0.0,0.0,Transformations - Charged off
17,RandomForestClassifier(random_state=12),,0.05,0.0,0.0,0.0,Transformations - Charged off
18,LogisticRegression(random_state=12),,0.05,0.0,0.0,0.0,Transformations - Charged off
19,LogisticRegression(random_state=12),,0.05,0.0,0.0,0.0,Transformations - Charged off
20,MLPClassifier(random_state=12),,0.1,0.0,0.0,0.0,Transformations - Charged off
21,MLPClassifier(random_state=12),,0.1,0.0,0.0,0.0,Transformations - Charged off
22,DecisionTreeClassifier(random_state=12),,0.1,0.01732308787604233,0.009079890068483263,0.18863636363636363,Transformations - Charged off
23,DecisionTreeClassifier(random_state=12),,0.1,0.014817594881005872,0.007798065237110473,0.15000000000000002,Transformations - Charged off
24,SVC(random_state=12),,0.1,0.0,0.0,0.0,Transformations - Charged off
25,SVC(random_state=12),,0.1,0.0,0.0,0.0,Transformations - Charged off
26,RandomForestClassifier(random_state=12),,0.1,0.0,0.0,0.0,Transformations - Charged off
27,RandomForestClassifier(random_state=12),,0.1,0.0,0.0,0.0,Transformations - Charged off
28,LogisticRegression(random_state=12),,0.1,0.0,0.0,0.0,Transformations - Charged off
29,LogisticRegression(random_state=12),,0.1,0.0,0.0,0.0,Transformations - Charged off
30,MLPClassifier(random_state=12),,0.25,0.008222591362126245,0.005347222222222223,0.01818181818181818,Transformations - Charged off
31,MLPClassifier(random_state=12),,0.25,0.016498316498316498,0.01534090909090909,0.01818181818181818,Transformations - Charged off
32,DecisionTreeClassifier(random_state=12),,0.25,0.015171833621278339,0.00776764584291881,0.3257575757575757,Transformations - Charged off
33,DecisionTreeClassifier(random_state=12),,0.25,0.011994089131589536,0.006154852941305548,0.2356060606060606,Transformations - Charged off
34,SVC(random_state=12),,0.25,0.0,0.0,0.0,Transformations - Charged off
35,SVC(random_state=12),,0.25,0.0,0.0,0.0,Transformations - Charged off
36,RandomForestClassifier(random_state=12),,0.25,0.016864646012046576,0.00948797789377417,0.08106060606060607,Transformations - Charged off
37,RandomForestClassifier(random_state=12),,0.25,0.011997922253803644,0.006761988869730995,0.05454545454545454,Transformations - Charged off
38,LogisticRegression(random_state=12),,0.25,0.005882352941176471,0.004545454545454545,0.008333333333333333,Transformations - Charged off
39,LogisticRegression(random_state=12),,0.25,0.018691423519009726,0.0145224171539961,0.026515151515151512,Transformations - Charged off
40,MLPClassifier(random_state=12),,0.5,0.030856524427952996,0.024370289501868446,0.04469696969696969,Transformations - Charged off
41,MLPClassifier(random_state=12),,0.5,0.02504508338623117,0.019654377880184332,0.0356060606060606,Transformations - Charged off
42,DecisionTreeClassifier(random_state=12),,0.5,0.01423630033266352,0.007224903077788553,0.48560606060606054,Transformations - Charged off
43,DecisionTreeClassifier(random_state=12),,0.5,0.015015079793281368,0.007613964258136455,0.5386363636363636,Transformations - Charged off
44,SVC(random_state=12),,0.5,0.015732914139524167,0.007986613007474243,0.5484848484848485,Transformations - Charged off
45,SVC(random_state=12),,0.5,0.01605979137168292,0.008139056041441337,0.6212121212121213,Transformations - Charged off
46,RandomForestClassifier(random_state=12),,0.5,0.014853773415663896,0.007540430712147684,0.4954545454545455,Transformations - Charged off
47,RandomForestClassifier(random_state=12),,0.5,0.016239925764741658,0.00824436164500437,0.5393939393939393,Transformations - Charged off
48,LogisticRegression(random_state=12),,0.5,0.01483838924734473,0.007530208971317112,0.5037878787878787,Transformations - Charged off
49,LogisticRegression(random_state=12),,0.5,0.015200580163828087,0.007717582304485535,0.5030303030303029,Transformations - Charged off
