,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=10,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
1,MLPClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=20,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
2,MLPClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=40,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
3,MLPClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), SelectKBest(k=5)]",0.01,0.0,0.0,0.0,Experimental - Marked
4,MLPClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), SelectKBest()]",0.01,0.0,0.0,0.0,Experimental - Marked
5,MLPClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), SelectKBest(k=20)]",0.01,0.0,0.0,0.0,Experimental - Marked
6,MLPClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), SelectKBest(k=40)]",0.01,0.0,0.0,0.0,Experimental - Marked
7,MLPClassifier(random_state=12),"[Normalizer(), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=10,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
8,MLPClassifier(random_state=12),"[Normalizer(), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=20,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
9,MLPClassifier(random_state=12),"[Normalizer(), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=40,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
10,MLPClassifier(random_state=12),"[Normalizer(), SelectKBest(k=5)]",0.01,0.0,0.0,0.0,Experimental - Marked
11,MLPClassifier(random_state=12),"[Normalizer(), SelectKBest()]",0.01,0.0,0.0,0.0,Experimental - Marked
12,MLPClassifier(random_state=12),"[Normalizer(), SelectKBest(k=20)]",0.01,0.0,0.0,0.0,Experimental - Marked
13,MLPClassifier(random_state=12),"[Normalizer(), SelectKBest(k=40)]",0.01,0.0,0.0,0.0,Experimental - Marked
14,MLPClassifier(random_state=12),,0.01,0.12664820203950639,0.0999090437142521,0.21742424242424244,Experimental - Marked
15,MLPClassifier(random_state=12),,0.01,0.10850579396357382,0.11693699661797011,0.17196969696969697,Experimental - Marked
16,DecisionTreeClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=10,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
17,DecisionTreeClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=20,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
18,DecisionTreeClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=40,
    step=10)]",0.01,0.0,0.0,0.0,Experimental - Marked
19,DecisionTreeClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), SelectKBest(k=5)]",0.01,0.0,0.0,0.0,Experimental - Marked
20,DecisionTreeClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), SelectKBest()]",0.01,0.0,0.0,0.0,Experimental - Marked
21,DecisionTreeClassifier(random_state=12),"[KBinsDiscretizer(encode='ordinal', strategy='uniform'), SelectKBest(k=20)]",0.01,0.0,0.0,0.0,Experimental - Marked
