,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),"RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=5,
    step=5)",0.05,0.26372771001806433,0.6618638255490973,0.19188184663536773,Feature_Selection_Charged_Off
1,MLPClassifier(random_state=12),"RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=10,
    step=5)",0.05,0.2646519147538127,0.34680702116621354,0.26969874804381844,Feature_Selection_Charged_Off
2,MLPClassifier(random_state=12),"RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=20,
    step=5)",0.05,0.3239308413693527,0.49956036113791924,0.28374413145539906,Feature_Selection_Charged_Off
3,MLPClassifier(random_state=12),"RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=40,
    step=5)",0.05,0.2920826183639386,0.3891612330669461,0.30614241001564946,Feature_Selection_Charged_Off
4,MLPClassifier(random_state=12),"RFE(estimator=DecisionTreeClassifier(random_state=12), n_features_to_select=5,
    step=5)",0.05,0.19883263172299276,0.3681728694288401,0.15035211267605636,Feature_Selection_Charged_Off
5,MLPClassifier(random_state=12),"RFE(estimator=DecisionTreeClassifier(random_state=12), n_features_to_select=10,
    step=5)",0.05,0.26318752520868205,0.3102520702014077,0.300254303599374,Feature_Selection_Charged_Off
6,MLPClassifier(random_state=12),"RFE(estimator=DecisionTreeClassifier(random_state=12), n_features_to_select=20,
    step=5)",0.05,0.29714753785139714,0.27750070336563615,0.3630868544600939,Feature_Selection_Charged_Off
7,MLPClassifier(random_state=12),"RFE(estimator=DecisionTreeClassifier(random_state=12), n_features_to_select=40,
    step=5)",0.05,0.3024802035254631,0.3109399886646037,0.3158646322378717,Feature_Selection_Charged_Off
8,MLPClassifier(random_state=12),"RFE(estimator=LogisticRegression(random_state=12), n_features_to_select=5,
    step=5)",0.05,0.14711382804813528,0.2732280717553402,0.10997652582159625,Feature_Selection_Charged_Off
9,MLPClassifier(random_state=12),"RFE(estimator=LogisticRegression(random_state=12), n_features_to_select=10,
    step=5)",0.05,0.16030872477011687,0.19018305487371256,0.16115023474178403,Feature_Selection_Charged_Off
10,MLPClassifier(random_state=12),"RFE(estimator=LogisticRegression(random_state=12), n_features_to_select=20,
    step=5)",0.05,0.19991485392095254,0.24202763237550423,0.21410406885758998,Feature_Selection_Charged_Off
11,MLPClassifier(random_state=12),"RFE(estimator=LogisticRegression(random_state=12), n_features_to_select=40,
    step=5)",0.05,0.31737385507091675,0.3275570073077014,0.3696987480438184,Feature_Selection_Charged_Off
12,MLPClassifier(random_state=12),SelectKBest(k=5),0.05,0.15891612091647506,0.3072557923066638,0.13352895148669794,Feature_Selection_Charged_Off
