,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),"RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=5,
    step=5)",0.01,0.014251207729468598,0.012333333333333332,0.01818181818181818,Feature_Selection_Marked
1,MLPClassifier(random_state=12),"RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=10,
    step=5)",0.01,0.0,0.0,0.0,Feature_Selection_Marked
2,MLPClassifier(random_state=12),"RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=20,
    step=5)",0.01,0.01568627450980392,0.011195652173913042,0.02727272727272727,Feature_Selection_Marked
3,MLPClassifier(random_state=12),"RFE(estimator=RandomForestClassifier(random_state=12), n_features_to_select=40,
    step=5)",0.01,0.04251559934318555,0.04792528260270196,0.053787878787878794,Feature_Selection_Marked
4,MLPClassifier(random_state=12),"RFE(estimator=DecisionTreeClassifier(random_state=12), n_features_to_select=5,
    step=5)",0.01,0.00588235294117647,0.004347826086956522,0.00909090909090909,Feature_Selection_Marked
5,MLPClassifier(random_state=12),"RFE(estimator=DecisionTreeClassifier(random_state=12), n_features_to_select=10,
    step=5)",0.01,0.007692307692307691,0.006666666666666666,0.00909090909090909,Feature_Selection_Marked
6,MLPClassifier(random_state=12),"RFE(estimator=DecisionTreeClassifier(random_state=12), n_features_to_select=20,
    step=5)",0.01,0.026790890269151137,0.022085455574419918,0.03636363636363636,Feature_Selection_Marked
7,MLPClassifier(random_state=12),"RFE(estimator=DecisionTreeClassifier(random_state=12), n_features_to_select=40,
    step=5)",0.01,0.0071428571428571435,0.00625,0.008333333333333333,Feature_Selection_Marked
8,MLPClassifier(random_state=12),"RFE(estimator=LogisticRegression(random_state=12), n_features_to_select=5,
    step=5)",0.01,0.0,0.0,0.0,Feature_Selection_Marked
9,MLPClassifier(random_state=12),"RFE(estimator=LogisticRegression(random_state=12), n_features_to_select=10,
    step=5)",0.01,0.04095238095238095,0.08333333333333333,0.02727272727272727,Feature_Selection_Marked
10,MLPClassifier(random_state=12),"RFE(estimator=LogisticRegression(random_state=12), n_features_to_select=20,
    step=5)",0.01,0.029512516469038207,0.025757575757575757,0.03636363636363636,Feature_Selection_Marked
11,MLPClassifier(random_state=12),"RFE(estimator=LogisticRegression(random_state=12), n_features_to_select=40,
    step=5)",0.01,0.10563595853918435,0.08348663101604278,0.1515151515151515,Feature_Selection_Marked
12,MLPClassifier(random_state=12),SelectKBest(k=5),0.01,0.018218623481781375,0.019166666666666665,0.01818181818181818,Feature_Selection_Marked
13,MLPClassifier(random_state=12),SelectKBest(),0.01,0.012610837438423644,0.00972222222222222,0.01818181818181818,Feature_Selection_Marked
14,MLPClassifier(random_state=12),SelectKBest(k=20),0.01,0.02105263157894737,0.025,0.01818181818181818,Feature_Selection_Marked
15,MLPClassifier(random_state=12),SelectKBest(k=40),0.01,0.05703536229852019,0.05756493506493506,0.06287878787878788,Feature_Selection_Marked
16,MLPClassifier(random_state=12),CorrelationMatrixTransformer(corr=0.1),0.01,0.019432624113475176,0.013596491228070173,0.03636363636363636,Feature_Selection_Marked
17,MLPClassifier(random_state=12),CorrelationMatrixTransformer(corr=0.2),0.01,0.023376623376623377,0.02085561497326203,0.02727272727272727,Feature_Selection_Marked
18,MLPClassifier(random_state=12),CorrelationMatrixTransformer(corr=0.5),0.01,0.010141206675224647,0.007037037037037036,0.01818181818181818,Feature_Selection_Marked
