,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),SimpleImputer(),0.05,0.31780422039371603,0.33877228274956317,0.33654147104851334,Imputation
1,MLPClassifier(random_state=12),SimpleImputer(strategy='median'),0.05,0.22024794395446728,0.2852671529265814,0.22132237871674493,Imputation
2,MLPClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.05,0.32909750013749844,0.36493072911024715,0.3545774647887324,Imputation
3,MLPClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.05,0.33730746369633763,0.35257989588229316,0.34505086071987484,Imputation
4,MLPClassifier(random_state=12),,0.05,,,,Imputation
5,MLPClassifier(random_state=12),,0.05,,,,Imputation
6,DecisionTreeClassifier(random_state=12),SimpleImputer(),0.05,0.3279776376445681,0.29324685876498335,0.3740414710485133,Imputation
7,DecisionTreeClassifier(random_state=12),SimpleImputer(strategy='median'),0.05,0.29703604643874304,0.2655371209184163,0.33791079812206576,Imputation
8,DecisionTreeClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.05,0.30272303793478506,0.272621230765189,0.3420774647887324,Imputation
9,DecisionTreeClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.05,0.3385656844886082,0.3035845812081376,0.38386150234741784,Imputation
10,DecisionTreeClassifier(random_state=12),,0.05,,,,Imputation
11,DecisionTreeClassifier(random_state=12),,0.05,,,,Imputation
12,SVC(random_state=12),SimpleImputer(),0.05,0.0,0.0,0.0,Imputation
13,SVC(random_state=12),SimpleImputer(strategy='median'),0.05,0.0,0.0,0.0,Imputation
14,SVC(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.05,0.0,0.0,0.0,Imputation
15,SVC(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.05,0.0,0.0,0.0,Imputation
16,SVC(random_state=12),,0.05,,,,Imputation
17,SVC(random_state=12),,0.05,,,,Imputation
