,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),SimpleImputer(),0.01,0.26195487103029796,0.24691544916075436,0.325,Imputation
1,MLPClassifier(random_state=12),SimpleImputer(strategy='median'),0.01,0.14461470074473173,0.135698714471093,0.1893939393939394,Imputation
2,MLPClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.01,0.11174860282277162,0.13456882591093117,0.13636363636363638,Imputation
3,MLPClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.01,0.16003838031470236,0.14377907302480358,0.20833333333333331,Imputation
4,MLPClassifier(random_state=12),,0.01,,,,Imputation
5,DecisionTreeClassifier(random_state=12),SimpleImputer(),0.01,0.17470297175942334,0.1371814831195636,0.2446969696969697,Imputation
6,DecisionTreeClassifier(random_state=12),SimpleImputer(strategy='median'),0.01,0.1240286195286195,0.09957337712056577,0.17196969696969697,Imputation
7,DecisionTreeClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.01,0.10452334768124243,0.08193332868255469,0.15454545454545454,Imputation
8,DecisionTreeClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.01,0.1059362754927271,0.0825817559633349,0.15378787878787875,Imputation
9,DecisionTreeClassifier(random_state=12),,0.01,,,,Imputation
10,SVC(random_state=12),SimpleImputer(),0.01,0.0,0.0,0.0,Imputation
11,SVC(random_state=12),SimpleImputer(strategy='median'),0.01,0.0,0.0,0.0,Imputation
12,SVC(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.01,0.0,0.0,0.0,Imputation
13,SVC(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.01,0.0,0.0,0.0,Imputation
14,SVC(random_state=12),,0.01,,,,Imputation
15,RandomForestClassifier(random_state=12),SimpleImputer(),0.01,0.03333333333333334,0.2,0.01818181818181818,Imputation
16,RandomForestClassifier(random_state=12),SimpleImputer(strategy='median'),0.01,0.03333333333333334,0.2,0.01818181818181818,Imputation
17,RandomForestClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.01,0.05,0.3,0.02727272727272727,Imputation
