,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=5)]",0.05,0.25699573120647307,0.9674725274725274,0.1488262910798122,PCA with preprocessing
1,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=10)]",0.05,0.2751606012033002,0.8830090497737556,0.1641431924882629,PCA with preprocessing
2,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=20)]",0.05,0.3384597394210081,0.6667217264365786,0.22809076682316118,PCA with preprocessing
3,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=40)]",0.05,0.3722211620092722,0.6240353850358022,0.2655907668231612,PCA with preprocessing
4,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=60)]",0.05,0.3760965413801819,0.5905108199546465,0.2767214397496088,PCA with preprocessing
5,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=80)]",0.05,0.41698463069118424,0.5885083816165331,0.32404147104851333,PCA with preprocessing
6,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=100)]",0.05,0.4060388350880563,0.5892068868260777,0.31281298904538346,PCA with preprocessing
7,MLPClassifier(random_state=12),,0.05,0.3241049343685637,0.346759985951245,0.3502151799687011,PCA with preprocessing
8,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=5)]",0.05,0.24236417008062766,0.22754773155846628,0.2615805946791862,PCA with preprocessing
9,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=10)]",0.05,0.26572407967360295,0.2437514878721231,0.2934663536776213,PCA with preprocessing
10,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=20)]",0.05,0.28584332884516617,0.26431105642548697,0.3128521126760564,PCA with preprocessing
11,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=40)]",0.05,0.2839529508442159,0.24993267390990548,0.3311424100156494,PCA with preprocessing
12,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=60)]",0.05,0.29080992831677727,0.2682040177516269,0.3197965571205008,PCA with preprocessing
13,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=80)]",0.05,0.2904968188657322,0.25488801912883535,0.3394953051643193,PCA with preprocessing
14,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=100)]",0.05,0.2752508525686722,0.25078169611671935,0.3073356807511737,PCA with preprocessing
15,DecisionTreeClassifier(random_state=12),,0.05,0.3306283892221619,0.297839643985838,0.37273082942097024,PCA with preprocessing
16,SVC(random_state=12),"[Normalizer(), PCA(n_components=5)]",0.05,0.2572667339165001,0.9774725274725276,0.1488262910798122,PCA with preprocessing
17,SVC(random_state=12),"[Normalizer(), PCA(n_components=10)]",0.05,0.2572667339165001,0.9774725274725276,0.1488262910798122,PCA with preprocessing
18,SVC(random_state=12),"[Normalizer(), PCA(n_components=20)]",0.05,0.25793795897699223,0.9916666666666666,0.1488262910798122,PCA with preprocessing
19,SVC(random_state=12),"[Normalizer(), PCA(n_components=40)]",0.05,0.2582612031732897,1.0,0.1488262910798122,PCA with preprocessing
20,SVC(random_state=12),"[Normalizer(), PCA(n_components=60)]",0.05,0.2582612031732897,1.0,0.1488262910798122,PCA with preprocessing
21,SVC(random_state=12),"[Normalizer(), PCA(n_components=80)]",0.05,0.2582612031732897,1.0,0.1488262910798122,PCA with preprocessing
22,SVC(random_state=12),"[Normalizer(), PCA(n_components=100)]",0.05,0.2582612031732897,1.0,0.1488262910798122,PCA with preprocessing
23,SVC(random_state=12),,0.05,0.0,0.0,0.0,PCA with preprocessing
24,RandomForestClassifier(random_state=12),"[Normalizer(), PCA(n_components=5)]",0.05,0.2699280372790836,0.8415869424692953,0.16132629107981222,PCA with preprocessing
25,RandomForestClassifier(random_state=12),"[Normalizer(), PCA(n_components=10)]",0.05,0.28408214914263863,0.9197619047619048,0.16830985915492958,PCA with preprocessing
26,RandomForestClassifier(random_state=12),"[Normalizer(), PCA(n_components=20)]",0.05,0.2751600154502285,0.9708333333333332,0.16136541471048513,PCA with preprocessing
27,RandomForestClassifier(random_state=12),"[Normalizer(), PCA(n_components=40)]",0.05,0.2750621251719462,1.0,0.1599374021909233,PCA with preprocessing
