,classifier,preprocessor,prior,f1,precision,recall,dataset_description
0,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=5)]",0.01,0.0,0.0,0.0,PCA with preprocessing
1,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=10)]",0.01,0.0,0.0,0.0,PCA with preprocessing
2,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=20)]",0.01,0.0,0.0,0.0,PCA with preprocessing
3,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=40)]",0.01,0.17660256410256414,0.75,0.10833333333333335,PCA with preprocessing
4,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=60)]",0.01,0.21502217081164451,0.7875,0.13484848484848483,PCA with preprocessing
5,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=80)]",0.01,0.29679487179487174,0.7811111111111112,0.1984848484848485,PCA with preprocessing
6,MLPClassifier(random_state=12),"[Normalizer(), PCA(n_components=100)]",0.01,0.27344322344322347,0.6317460317460316,0.1893939393939394,PCA with preprocessing
7,MLPClassifier(random_state=12),,0.01,0.1488138974552018,0.13506712523719164,0.19621212121212123,PCA with preprocessing
8,MLPClassifier(random_state=12),,0.01,0.1208635590988532,0.0967278146117557,0.18712121212121213,PCA with preprocessing
9,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=5)]",0.01,0.04307789155615242,0.03852564102564102,0.05378787878787879,PCA with preprocessing
10,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=10)]",0.01,0.07654250539096447,0.06325709348458035,0.09924242424242424,PCA with preprocessing
11,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=20)]",0.01,0.08106572465077085,0.06883980785296574,0.1,PCA with preprocessing
12,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=40)]",0.01,0.09994701364831256,0.07788112886948531,0.14393939393939392,PCA with preprocessing
13,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=60)]",0.01,0.101940026595199,0.08461789470863881,0.13333333333333333,PCA with preprocessing
14,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=80)]",0.01,0.09048999388817625,0.07206585051746342,0.13484848484848486,PCA with preprocessing
15,DecisionTreeClassifier(random_state=12),"[Normalizer(), PCA(n_components=100)]",0.01,0.1349948994058135,0.10439085779239232,0.1984848484848485,PCA with preprocessing
16,DecisionTreeClassifier(random_state=12),,0.01,0.12770083423620032,0.10454600351339483,0.17045454545454547,PCA with preprocessing
17,DecisionTreeClassifier(random_state=12),,0.01,0.1348425605370198,0.101399537163684,0.20833333333333334,PCA with preprocessing
18,SVC(random_state=12),"[Normalizer(), PCA(n_components=5)]",0.01,0.0,0.0,0.0,PCA with preprocessing
19,SVC(random_state=12),"[Normalizer(), PCA(n_components=10)]",0.01,0.0,0.0,0.0,PCA with preprocessing
20,SVC(random_state=12),"[Normalizer(), PCA(n_components=20)]",0.01,0.0,0.0,0.0,PCA with preprocessing
21,SVC(random_state=12),"[Normalizer(), PCA(n_components=40)]",0.01,0.0,0.0,0.0,PCA with preprocessing
