,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
0,relu,0.0001,"(100,)",adaptive,400,lbfgs,0.35849660176536663,0.33990363218480824,0.32411881188118813
1,relu,0.05,"(50, 50, 50)",adaptive,200,adam,0.5027951103813173,0.3789139887132806,0.31435643564356436
2,tanh,0.01,"(50, 5)",constant,400,adam,0.4982125905710812,0.3779499820773706,0.30617821782178223
3,relu,0.01,"(20, 40, 10)",constant,400,adam,0.3993981549413495,0.35980983473542816,0.334
4,logistic,0.05,"(100,)",adaptive,200,sgd,0.0,0.0,0.0
5,logistic,0.0001,"(50, 50, 50)",adaptive,400,adam,0.4897118786551918,0.41734667360624983,0.3658217821782178
6,logistic,0.05,"(50, 5)",constant,400,lbfgs,0.4084151374497568,0.37308457507991005,0.34398019801980195
7,tanh,0.01,"(50, 100, 50)",constant,400,lbfgs,0.41891443134864187,0.3583188770221722,0.3141188118811881
8,tanh,0.001,"(50, 100, 50)",constant,200,sgd,0.6318027684875511,0.33879895767470186,0.23265346534653464
9,relu,0.01,"(50, 50, 50)",constant,200,adam,0.4480290144637971,0.3776345220454008,0.328059405940594
10,tanh,0.001,"(50, 50, 50)",adaptive,200,sgd,0.6327517963707223,0.35374045588254294,0.2485940594059406
11,relu,0.01,"(20, 40, 10)",constant,200,adam,0.3993981549413495,0.35980983473542816,0.334
12,tanh,0.0001,"(100,)",constant,400,lbfgs,0.4634215537441344,0.38630911152453795,0.3321386138613861
13,relu,0.01,"(20, 40, 10)",constant,200,sgd,0.60279855202269,0.3066626839585097,0.20675247524752477
14,relu,0.001,"(50, 50, 50)",adaptive,400,lbfgs,0.37378592254850657,0.35908104019214704,0.34600000000000003
15,relu,0.0001,"(100,)",adaptive,400,sgd,0.6304455583402953,0.3626741907406066,0.25643564356435644
16,relu,0.0001,"(50, 100, 50)",constant,200,adam,0.469850845193311,0.3809455591841382,0.322039603960396
17,logistic,0.001,"(50, 50, 50)",adaptive,400,sgd,0.0,0.0,0.0
18,logistic,0.01,"(100,)",constant,400,sgd,0.38571428571428573,0.10373369320737742,0.06000000000000001
19,tanh,0.001,"(20, 40, 10)",adaptive,200,adam,0.46153334249145955,0.3638202473286161,0.3121386138613861
20,relu,0.001,"(50, 100, 50)",constant,200,adam,0.47864199486404113,0.3988954025369778,0.3438415841584158
21,relu,0.001,"(20, 40, 10)",constant,200,lbfgs,0.35279492042120825,0.34491964128918917,0.34213861386138616
22,logistic,0.05,"(50, 50, 50)",constant,200,sgd,0.0,0.0,0.0
23,tanh,0.01,"(20, 40, 10)",adaptive,200,lbfgs,0.41623914887218866,0.3776164562609575,0.3481386138613861
24,relu,0.05,"(50, 5)",adaptive,200,adam,0.4694238859180036,0.39195924232736395,0.34998019801980196
25,logistic,0.001,"(20, 40, 10)",adaptive,200,sgd,0.0,0.0,0.0
26,logistic,0.01,"(50, 5)",adaptive,400,adam,0.5184213151682483,0.39960484927122525,0.3260990099009901
27,tanh,0.0001,"(50, 100, 50)",adaptive,400,sgd,0.48605982551782584,0.3727249998301504,0.3062376237623763
28,logistic,0.01,"(50, 50, 50)",constant,400,sgd,0.0,0.0,0.0
29,tanh,0.001,"(50, 50, 50)",constant,400,lbfgs,0.4030702214637958,0.35582941355084674,0.32031683168316827
30,logistic,0.05,"(50, 50, 50)",adaptive,200,sgd,0.0,0.0,0.0
31,tanh,0.001,"(50, 100, 50)",adaptive,200,lbfgs,0.4089105744243944,0.35512545683543983,0.3161782178217822
32,relu,0.05,"(20, 40, 10)",constant,400,lbfgs,0.3462523683213338,0.34206172611946556,0.34207920792079205
33,tanh,0.001,"(50, 5)",constant,200,sgd,0.7912121212121213,0.29297443567429193,0.18293069306930693
34,relu,0.05,"(50, 50, 50)",constant,200,lbfgs,0.4039755063291305,0.3734389712591974,0.34798019801980196
35,logistic,0.0001,"(100,)",constant,400,lbfgs,0.40258663380860177,0.3549161909721753,0.31813861386138614
36,logistic,0.05,"(20, 40, 10)",constant,400,sgd,0.0,0.0,0.0
37,relu,0.001,"(50, 5)",adaptive,200,lbfgs,0.3753457987814386,0.3576532764714397,0.34199999999999997
38,logistic,0.001,"(50, 100, 50)",constant,400,lbfgs,0.3522998948718691,0.33725966136066454,0.3261584158415841
39,relu,0.001,"(20, 40, 10)",constant,200,sgd,0.6151515151515151,0.3123619133095764,0.21073267326732675
40,relu,0.05,"(50, 5)",constant,400,sgd,0.5151174566510319,0.358936977470369,0.2763366336633663
41,logistic,0.0001,"(50, 50, 50)",constant,400,adam,0.4897118786551918,0.41734667360624983,0.3658217821782178
42,relu,0.001,"(50, 50, 50)",constant,400,lbfgs,0.37378592254850657,0.35908104019214704,0.34600000000000003
43,tanh,0.05,"(20, 40, 10)",adaptive,200,adam,0.42054565506786024,0.36802714561265015,0.3321386138613861
44,tanh,0.001,"(50, 5)",adaptive,400,adam,0.5020887260887261,0.3835044627737455,0.3181782178217822
45,relu,0.05,"(50, 50, 50)",constant,400,sgd,0.5059551697889345,0.3895391258386137,0.32013861386138615
46,relu,0.0001,"(50, 50, 50)",adaptive,400,lbfgs,0.37233065817855593,0.3509293704471254,0.33403960396039606
47,logistic,0.05,"(100,)",constant,200,sgd,0.0,0.0,0.0
48,relu,0.001,"(50, 100, 50)",adaptive,200,lbfgs,0.3896235190069065,0.3598949148308496,0.336059405940594
49,relu,0.01,"(50, 100, 50)",adaptive,200,sgd,0.677616284424795,0.3557746191404525,0.2424950495049505
