,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
0,relu,0.05,"(20, 40, 10)",constant,200,adam,0.46410917856604783,0.36790626327433607,0.3102178217821782
1,relu,0.001,"(100,)",constant,400,adam,0.5235876478413791,0.3793410738534632,0.3003366336633663
2,relu,0.05,"(50, 5)",constant,200,lbfgs,0.47879850751279385,0.3773098014077822,0.3120792079207921
3,logistic,0.001,"(100,)",constant,400,adam,0.8131149732620321,0.28867384677631014,0.17695049504950494
4,relu,0.0001,"(50, 5)",adaptive,400,lbfgs,0.3939922362328606,0.37168932471193616,0.3538019801980198
5,tanh,0.05,"(50, 50, 50)",constant,200,lbfgs,0.49820355650097026,0.36143956634493957,0.2863762376237624
6,logistic,0.0001,"(50, 5)",constant,400,lbfgs,0.44332444782939834,0.4070005734811553,0.38548514851485144
7,relu,0.0001,"(100,)",constant,200,sgd,0.0,0.0,0.0
8,relu,0.05,"(50, 5)",constant,200,adam,0.3573099415204678,0.11096045197740115,0.06568316831683169
9,tanh,0.05,"(100,)",adaptive,400,adam,0.8830596285434995,0.27986069804030284,0.169009900990099
10,tanh,0.01,"(50, 100, 50)",adaptive,200,adam,0.5988235294117648,0.3511852516709029,0.2583960396039604
11,relu,0.0001,"(100,)",constant,200,adam,0.5573745272745663,0.35435943273227055,0.2625148514851485
12,logistic,0.001,"(50, 50, 50)",adaptive,200,sgd,0.0,0.0,0.0
13,relu,0.0001,"(50, 100, 50)",constant,400,adam,0.411075911762164,0.3512803022699319,0.3140792079207921
14,relu,0.01,"(20, 40, 10)",constant,200,lbfgs,0.5850300300300301,0.37257062698658994,0.2764554455445545
15,tanh,0.01,"(100,)",constant,200,lbfgs,0.46943481654957064,0.3728582558472874,0.3100990099009901
16,tanh,0.05,"(50, 100, 50)",adaptive,200,sgd,0.9572118702553485,0.2557147774256071,0.1491089108910891
17,logistic,0.0001,"(50, 50, 50)",adaptive,200,lbfgs,0.0,0.0,0.0
18,relu,0.05,"(20, 40, 10)",constant,400,lbfgs,0.40682431824867227,0.36818372557926693,0.3420792079207921
19,relu,0.001,"(50, 100, 50)",adaptive,200,adam,0.397578602905886,0.36713278236750935,0.3459405940594059
20,logistic,0.001,"(20, 40, 10)",adaptive,200,sgd,0.0,0.0,0.0
21,logistic,0.0001,"(100,)",adaptive,200,lbfgs,0.5616014640851075,0.34414652177238353,0.2524950495049505
22,tanh,0.0001,"(50, 5)",constant,200,lbfgs,0.5013990671519444,0.35229740053269465,0.2763762376237624
23,tanh,0.05,"(50, 5)",adaptive,400,sgd,0.0,0.0,0.0
24,relu,0.001,"(100,)",adaptive,200,adam,0.6179156325033731,0.36391122812691,0.2624752475247525
25,tanh,0.05,"(50, 50, 50)",adaptive,400,lbfgs,0.42609647499367664,0.4001336989604078,0.37776237623762376
26,tanh,0.01,"(100,)",constant,400,lbfgs,0.37576709638862804,0.3740698302863085,0.3738019801980198
27,tanh,0.05,"(100,)",adaptive,200,sgd,0.0,0.0,0.0
28,relu,0.0001,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
29,logistic,0.05,"(20, 40, 10)",adaptive,400,adam,0.0,0.0,0.0
30,relu,0.05,"(50, 5)",constant,400,sgd,0.0,0.0,0.0
31,logistic,0.0001,"(20, 40, 10)",constant,200,adam,0.0,0.0,0.0
32,relu,0.05,"(50, 100, 50)",adaptive,400,adam,0.40706120625036035,0.37248972036381106,0.34392079207920795
33,logistic,0.001,"(50, 50, 50)",constant,200,lbfgs,0.0,0.0,0.0
34,logistic,0.01,"(50, 50, 50)",adaptive,200,sgd,0.0,0.0,0.0
35,relu,0.01,"(50, 50, 50)",constant,400,adam,0.4066936999252667,0.3904352140609761,0.3757227722772277
36,tanh,0.0001,"(50, 5)",adaptive,200,adam,0.5652404394381867,0.3320057601395706,0.2366534653465347
37,relu,0.05,"(100,)",constant,400,adam,0.8172623257749116,0.2709075184902411,0.16506930693069305
38,logistic,0.01,"(50, 100, 50)",adaptive,200,sgd,0.0,0.0,0.0
39,relu,0.0001,"(50, 100, 50)",adaptive,400,lbfgs,0.4319170044131524,0.3596385735954529,0.3201188118811881
40,logistic,0.001,"(20, 40, 10)",constant,400,sgd,0.0,0.0,0.0
41,logistic,0.001,"(50, 50, 50)",adaptive,200,adam,0.8002672064777328,0.30429412310131215,0.18885148514851485
42,logistic,0.05,"(50, 100, 50)",constant,200,sgd,0.0,0.0,0.0
43,tanh,0.01,"(50, 50, 50)",constant,200,sgd,0.9714975845410627,0.2561184414529321,0.1491089108910891
44,relu,0.001,"(50, 100, 50)",constant,400,adam,0.397578602905886,0.36713278236750935,0.3459405940594059
45,relu,0.05,"(20, 40, 10)",adaptive,200,lbfgs,0.49563571804746387,0.3576967828133086,0.28245544554455443
46,relu,0.001,"(50, 50, 50)",constant,200,lbfgs,0.5038986013986013,0.35406672036274267,0.2761980198019802
47,tanh,0.01,"(50, 50, 50)",constant,400,sgd,0.86797041623667,0.2577875612914274,0.1530891089108911
48,relu,0.05,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
49,relu,0.01,"(50, 50, 50)",adaptive,400,adam,0.4066936999252667,0.3904352140609761,0.3757227722772277
50,logistic,0.01,"(50, 100, 50)",adaptive,200,lbfgs,0.0,0.0,0.0
51,logistic,0.001,"(50, 50, 50)",adaptive,400,adam,0.8002672064777328,0.30429412310131215,0.18885148514851485
52,tanh,0.01,"(50, 100, 50)",adaptive,400,adam,0.5988235294117648,0.3511852516709029,0.2583960396039604
53,relu,0.05,"(50, 100, 50)",adaptive,400,lbfgs,0.3638989555081078,0.3379141397544289,0.31996039603960397
54,logistic,0.01,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
55,relu,0.01,"(100,)",constant,400,adam,0.6231994607441719,0.3477369426976692,0.24465346534653465
56,logistic,0.05,"(50, 5)",adaptive,400,lbfgs,0.5143060606753738,0.3851241049613739,0.30805940594059406
57,tanh,0.01,"(20, 40, 10)",adaptive,200,sgd,0.9714975845410627,0.2561184414529321,0.1491089108910891
58,relu,0.0001,"(50, 50, 50)",adaptive,400,lbfgs,0.42661366045736787,0.36143745653141,0.3161782178217822
59,relu,0.001,"(50, 50, 50)",constant,200,sgd,0.0,0.0,0.0
60,relu,0.05,"(100,)",constant,200,lbfgs,0.451492683855274,0.3875997137861547,0.339960396039604
61,relu,0.05,"(50, 100, 50)",constant,400,lbfgs,0.3638989555081078,0.3379141397544289,0.31996039603960397
62,tanh,0.01,"(50, 50, 50)",adaptive,400,sgd,0.86797041623667,0.2577875612914274,0.1530891089108911
63,relu,0.0001,"(50, 100, 50)",adaptive,200,adam,0.4178122648399805,0.35640805297145306,0.31803960396039604
64,tanh,0.01,"(50, 100, 50)",constant,200,adam,0.5988235294117648,0.3511852516709029,0.2583960396039604
65,tanh,0.001,"(20, 40, 10)",adaptive,400,lbfgs,0.4054720666836463,0.37836335823060974,0.35576237623762375
66,tanh,0.0001,"(50, 5)",constant,400,lbfgs,0.4392635267823238,0.3812572023080339,0.3439207920792079
67,tanh,0.05,"(100,)",adaptive,400,lbfgs,0.4033111550597776,0.37327761520498953,0.3478019801980198
68,logistic,0.0001,"(100,)",adaptive,400,sgd,0.0,0.0,0.0
69,logistic,0.01,"(20, 40, 10)",adaptive,400,lbfgs,0.0,0.0,0.0
70,tanh,0.01,"(50, 5)",adaptive,400,adam,0.7038377192982456,0.3147780586271699,0.20481188118811883
71,tanh,0.0001,"(50, 50, 50)",constant,200,sgd,0.9714975845410627,0.2561184414529321,0.1491089108910891
72,tanh,0.05,"(100,)",constant,200,adam,0.8830596285434995,0.27986069804030284,0.169009900990099
73,tanh,0.01,"(20, 40, 10)",constant,400,lbfgs,0.3939333096983971,0.38023216713933455,0.36788118811881193
74,relu,0.05,"(50, 5)",adaptive,200,lbfgs,0.47879850751279385,0.3773098014077822,0.3120792079207921
75,tanh,0.01,"(50, 100, 50)",adaptive,200,sgd,0.9572118702553485,0.2557147774256071,0.1491089108910891
76,tanh,0.001,"(50, 100, 50)",constant,400,adam,0.6230393884943385,0.3551159046954057,0.26471287128712867
77,relu,0.001,"(50, 5)",constant,400,adam,0.7319838056680162,0.1929092870592638,0.1114851485148515
78,tanh,0.05,"(50, 100, 50)",constant,400,adam,0.670754355293829,0.33083439352360394,0.22069306930693067
79,relu,0.01,"(20, 40, 10)",constant,400,sgd,0.2,0.06885245901639345,0.04158415841584158
80,tanh,0.05,"(50, 5)",adaptive,200,sgd,0.0,0.0,0.0
81,relu,0.05,"(50, 5)",adaptive,400,sgd,0.0,0.0,0.0
82,relu,0.01,"(20, 40, 10)",adaptive,400,adam,0.4036129834018805,0.39184938426764643,0.38384158415841585
83,logistic,0.05,"(100,)",adaptive,400,sgd,0.0,0.0,0.0
84,logistic,0.05,"(50, 5)",adaptive,400,sgd,0.0,0.0,0.0
85,tanh,0.001,"(50, 5)",constant,400,sgd,0.0,0.0,0.0
86,relu,0.05,"(50, 100, 50)",constant,400,sgd,0.19090909090909092,0.06829268292682926,0.04158415841584158
87,relu,0.001,"(20, 40, 10)",constant,200,adam,0.42867434583989955,0.3884679425174006,0.35805940594059404
88,logistic,0.0001,"(50, 100, 50)",adaptive,400,sgd,0.0,0.0,0.0
89,relu,0.01,"(50, 5)",adaptive,400,adam,0.8366666666666667,0.20497818095953865,0.11742574257425745
90,logistic,0.001,"(50, 100, 50)",constant,200,lbfgs,0.0,0.0,0.0
91,logistic,0.05,"(50, 50, 50)",adaptive,400,sgd,0.0,0.0,0.0
92,relu,0.05,"(50, 5)",adaptive,400,adam,0.3,0.1261202693289993,0.08350495049504951
93,tanh,0.001,"(20, 40, 10)",constant,400,sgd,0.8871380992588422,0.25619625278935626,0.1511089108910891
94,relu,0.001,"(20, 40, 10)",adaptive,400,sgd,0.2,0.06885245901639345,0.04158415841584158
95,relu,0.001,"(50, 100, 50)",adaptive,200,sgd,0.0,0.0,0.0
96,relu,0.05,"(50, 5)",constant,400,lbfgs,0.4112497684589818,0.3854568923025642,0.36376237623762375
97,relu,0.001,"(50, 5)",adaptive,400,sgd,0.0,0.0,0.0
98,relu,0.001,"(50, 50, 50)",adaptive,200,adam,0.42223184880181214,0.3892985698394405,0.3698811881188119
99,logistic,0.001,"(50, 100, 50)",constant,400,lbfgs,0.0,0.0,0.0
