,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
0,True,balanced_subsample,entropy,10.0,sqrt,2,10,200,0.0,0.0,0.0
1,False,,gini,50.0,sqrt,2,2,10,0.0,0.0,0.0
2,False,balanced,entropy,50.0,auto,2,2,50,0.2,0.023529411764705882,0.0125
3,True,balanced,entropy,10.0,sqrt,2,10,50,0.0,0.0,0.0
4,True,,gini,10.0,auto,2,10,10,0.0,0.0,0.0
5,True,,gini,,sqrt,4,2,50,0.0,0.0,0.0
6,True,balanced_subsample,gini,50.0,auto,1,2,100,0.0,0.0,0.0
7,True,balanced,gini,,auto,4,2,200,0.0,0.0,0.0
8,True,,entropy,10.0,auto,1,2,200,0.0,0.0,0.0
9,False,,gini,50.0,sqrt,1,10,100,0.0,0.0,0.0
10,True,balanced_subsample,gini,,auto,1,2,200,0.0,0.0,0.0
11,False,balanced,gini,50.0,auto,4,2,50,0.2,0.023529411764705882,0.0125
12,False,,entropy,10.0,auto,4,10,100,0.0,0.0,0.0
13,True,,entropy,50.0,sqrt,2,10,200,0.0,0.0,0.0
14,False,,entropy,10.0,sqrt,4,10,10,0.0,0.0,0.0
15,False,balanced_subsample,gini,,auto,4,2,100,0.2,0.023529411764705882,0.0125
16,False,balanced_subsample,gini,10.0,sqrt,4,2,100,0.2,0.023529411764705882,0.0125
17,False,,entropy,10.0,sqrt,4,2,200,0.0,0.0,0.0
18,False,,entropy,,auto,4,10,100,0.0,0.0,0.0
19,True,,gini,,sqrt,4,10,200,0.0,0.0,0.0
20,True,balanced,entropy,50.0,auto,1,10,200,0.0,0.0,0.0
21,False,balanced_subsample,entropy,50.0,sqrt,2,2,200,0.0,0.0,0.0
22,True,balanced,gini,10.0,sqrt,2,10,200,0.0,0.0,0.0
23,True,,entropy,,auto,1,2,200,0.0,0.0,0.0
24,False,balanced,gini,50.0,sqrt,2,10,100,0.2,0.023529411764705882,0.0125
25,True,balanced_subsample,entropy,10.0,auto,2,2,10,0.0,0.0,0.0
26,True,balanced_subsample,gini,,sqrt,4,10,200,0.0,0.0,0.0
27,False,balanced,gini,,sqrt,2,10,100,0.2,0.023529411764705882,0.0125
28,True,balanced,entropy,,auto,4,2,50,0.0,0.0,0.0
29,False,balanced_subsample,gini,50.0,sqrt,2,2,50,0.2,0.023529411764705882,0.0125
30,True,balanced,entropy,,sqrt,1,2,50,0.0,0.0,0.0
31,False,balanced_subsample,entropy,,auto,1,2,100,0.0,0.0,0.0
32,False,balanced,gini,10.0,auto,1,2,100,0.0,0.0,0.0
33,True,balanced_subsample,entropy,50.0,sqrt,1,10,100,0.0,0.0,0.0
34,True,,gini,,auto,4,10,100,0.0,0.0,0.0
35,True,balanced_subsample,gini,,auto,4,2,10,0.0,0.0,0.0
36,True,balanced_subsample,entropy,,sqrt,1,10,100,0.0,0.0,0.0
37,True,,entropy,50.0,auto,4,10,100,0.0,0.0,0.0
38,True,balanced_subsample,entropy,10.0,sqrt,4,2,10,0.0,0.0,0.0
39,False,balanced_subsample,entropy,50.0,auto,1,2,100,0.0,0.0,0.0
40,True,balanced_subsample,entropy,,auto,1,10,100,0.0,0.0,0.0
41,True,balanced,gini,50.0,auto,1,10,200,0.0,0.0,0.0
42,True,balanced,entropy,10.0,sqrt,1,2,10,0.0,0.0,0.0
43,False,balanced,entropy,50.0,auto,1,2,200,0.0,0.0,0.0
44,False,balanced_subsample,entropy,10.0,sqrt,4,10,50,0.2,0.023529411764705882,0.0125
45,False,balanced_subsample,entropy,50.0,auto,2,2,50,0.2,0.023529411764705882,0.0125
46,True,balanced,gini,50.0,auto,4,2,10,0.0,0.0,0.0
47,False,,gini,10.0,auto,1,2,10,0.0,0.0,0.0
48,True,balanced_subsample,entropy,10.0,sqrt,4,2,200,0.0,0.0,0.0
49,True,balanced,entropy,,auto,2,2,10,0.0,0.0,0.0
50,True,balanced,entropy,10.0,sqrt,2,10,10,0.0,0.0,0.0
51,False,,gini,,auto,1,10,200,0.0,0.0,0.0
52,True,balanced_subsample,entropy,50.0,sqrt,1,2,10,0.0,0.0,0.0
53,True,balanced_subsample,entropy,50.0,sqrt,4,2,200,0.0,0.0,0.0
54,True,balanced,gini,50.0,sqrt,4,10,200,0.0,0.0,0.0
55,False,,gini,50.0,auto,1,10,10,0.0,0.0,0.0
56,True,,entropy,,auto,4,10,10,0.0,0.0,0.0
57,True,balanced,gini,50.0,sqrt,4,2,100,0.0,0.0,0.0
58,True,balanced_subsample,gini,50.0,sqrt,4,2,200,0.0,0.0,0.0
59,True,balanced_subsample,entropy,,sqrt,4,2,10,0.0,0.0,0.0
60,True,balanced,gini,,auto,1,10,50,0.0,0.0,0.0
61,False,,entropy,50.0,auto,4,10,50,0.0,0.0,0.0
62,True,,entropy,,sqrt,1,2,10,0.0,0.0,0.0
63,True,,gini,50.0,auto,1,2,100,0.0,0.0,0.0
64,True,,entropy,50.0,auto,4,2,10,0.0,0.0,0.0
65,True,,entropy,50.0,auto,1,2,200,0.0,0.0,0.0
66,True,balanced,entropy,10.0,sqrt,1,10,50,0.0,0.0,0.0
67,True,balanced,entropy,50.0,auto,4,2,100,0.0,0.0,0.0
68,False,balanced,entropy,50.0,sqrt,2,10,200,0.2,0.023529411764705882,0.0125
69,True,,entropy,10.0,sqrt,4,2,10,0.0,0.0,0.0
70,True,balanced,gini,10.0,sqrt,2,2,100,0.0,0.0,0.0
