,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
0,False,,entropy,10.0,sqrt,1,2,50,1.0,0.27890760667290804,0.16304950495049506
1,False,balanced_subsample,entropy,50.0,sqrt,4,10,10,0.6924889138178175,0.37619769436388023,0.2605940594059406
2,True,balanced,entropy,10.0,auto,2,2,200,0.539516062884484,0.3973420398585962,0.3182178217821782
3,True,balanced,gini,,auto,1,2,100,0.9603070175438596,0.2800196439595328,0.16500990099009902
4,True,balanced,entropy,,auto,1,2,10,0.8368011204481792,0.28039780043314894,0.16897029702970295
5,True,balanced_subsample,entropy,10.0,sqrt,2,2,50,0.5188469771374095,0.39826178570810555,0.3282574257425742
6,True,balanced,entropy,,auto,1,2,50,0.9684090909090909,0.2776598414528294,0.16304950495049506
7,True,balanced,entropy,,auto,1,2,200,1.0,0.275994158878873,0.16102970297029703
8,False,balanced,gini,,sqrt,4,2,100,0.794724025974026,0.3490316324203665,0.22669306930693067
9,True,balanced,entropy,,auto,4,10,10,0.6552738927738927,0.30067794799077585,0.19687128712871288
10,True,balanced_subsample,gini,,sqrt,2,2,200,0.952452380952381,0.29977826791398615,0.17889108910891088
11,True,,gini,50.0,auto,1,10,50,0.9833333333333332,0.26677973545078804,0.1550891089108911
12,True,balanced,gini,,auto,2,2,10,0.8199826489300174,0.28328266033591454,0.173009900990099
13,True,balanced,gini,,auto,4,2,10,0.6933670512617881,0.32394834816843543,0.2126732673267327
14,False,balanced_subsample,entropy,,sqrt,1,2,10,0.8501988304093567,0.2974640522875817,0.1809108910891089
15,True,balanced_subsample,gini,10.0,sqrt,1,2,100,0.5334633495614828,0.3948008585679345,0.3182178217821782
16,False,,entropy,50.0,sqrt,4,10,200,0.979539641943734,0.2840237188076348,0.167009900990099
17,True,balanced_subsample,gini,,sqrt,2,10,10,0.6984589314194577,0.29292344901934747,0.1869108910891089
18,True,balanced_subsample,gini,50.0,sqrt,4,10,50,0.7705990783410138,0.33057704372921765,0.2127722772277228
19,False,balanced,gini,10.0,auto,1,2,200,0.43088176508245246,0.42978951930210396,0.43356435643564356
20,False,,gini,50.0,sqrt,4,2,50,0.9788043478260869,0.27488235729916843,0.16104950495049505
21,True,balanced,entropy,10.0,sqrt,2,10,100,0.4979251844960356,0.3924873544440767,0.32609900990099006
22,True,,entropy,10.0,auto,2,2,10,0.9366666666666665,0.2695776906182514,0.15904950495049505
23,False,balanced,gini,,sqrt,2,2,10,0.8240322061191627,0.3090177566513863,0.19085148514851485
24,False,balanced,entropy,10.0,sqrt,4,10,100,0.3921239129315527,0.4350075759147754,0.4911485148514852
25,True,balanced_subsample,gini,10.0,sqrt,4,2,100,0.4871306471306471,0.38237287463368314,0.31821782178217817
26,True,balanced_subsample,entropy,50.0,auto,4,10,200,0.8929487179487181,0.3118571303368498,0.1908910891089109
27,True,balanced,entropy,10.0,sqrt,4,2,200,0.5417071009194638,0.41250900873911894,0.3361584158415841
28,True,balanced_subsample,entropy,,sqrt,2,2,100,0.9788043478260869,0.28394873043283186,0.16700990099009902
29,True,,gini,,auto,2,10,100,1.0,0.26082661236354443,0.1511089108910891
30,True,,gini,,auto,4,2,100,1.0,0.26351886879430547,0.1530891089108911
31,True,balanced,entropy,50.0,sqrt,1,2,10,0.8368011204481792,0.28039780043314894,0.16897029702970295
32,True,balanced,entropy,,sqrt,4,2,10,0.7079638893680639,0.29990249021185655,0.19287128712871288
33,False,balanced_subsample,gini,50.0,sqrt,2,10,10,0.7222660098522168,0.32075686126592556,0.20673267326732675
34,False,balanced_subsample,entropy,50.0,auto,4,10,200,0.7936493613912969,0.33981738784756427,0.21875247524752478
35,False,,entropy,50.0,auto,4,10,10,0.8396221532091097,0.29684924316478567,0.18093069306930692
36,False,,entropy,10.0,auto,2,10,50,1.0,0.2759091059232828,0.16104950495049505
37,False,balanced,gini,50.0,sqrt,4,2,100,0.794724025974026,0.3490316324203665,0.22669306930693067
38,True,,entropy,,sqrt,4,2,10,0.8784249084249083,0.2906720702013733,0.17697029702970296
39,False,,gini,,auto,1,10,200,0.9875,0.2907397680729494,0.17093069306930692
40,True,balanced_subsample,entropy,10.0,auto,1,2,10,0.42761571525205744,0.36762719000038696,0.3280792079207921
41,True,balanced_subsample,gini,10.0,auto,2,2,50,0.521265301629958,0.403386807566301,0.3341584158415841
42,False,,entropy,10.0,sqrt,4,10,200,1.0,0.2703195584596375,0.15706930693069307
43,False,balanced,entropy,50.0,sqrt,4,10,10,0.6924889138178175,0.37619769436388023,0.2605940594059406
44,False,balanced,entropy,,sqrt,2,2,100,0.9258840579710146,0.306917887985023,0.1849108910891089
45,True,balanced_subsample,entropy,10.0,auto,1,10,50,0.5171104639068025,0.4129479111932861,0.34605940594059403
46,False,balanced,gini,50.0,sqrt,2,2,50,0.900455486542443,0.3183581820498046,0.19483168316831684
47,True,balanced_subsample,entropy,,sqrt,2,2,10,0.8632539682539683,0.2971191515335117,0.18095049504950494
48,True,balanced_subsample,entropy,,auto,4,10,100,0.8506741624388683,0.2996610280619619,0.1829108910891089
49,False,,gini,,sqrt,4,10,100,1.0,0.2790388013971452,0.16302970297029704
50,True,balanced_subsample,gini,50.0,sqrt,1,2,100,0.9708333333333332,0.2835608771885244,0.16699009900990097
51,False,balanced_subsample,gini,50.0,auto,2,2,50,0.900455486542443,0.3183581820498046,0.19483168316831684
52,False,,gini,,sqrt,1,2,200,0.9479949874686717,0.2999311167945439,0.17895049504950494
53,True,balanced,entropy,10.0,sqrt,4,10,10,0.4298093861750174,0.3958895256572371,0.37203960396039604
54,False,balanced_subsample,entropy,,auto,2,10,10,0.6656582296582297,0.30936385485437856,0.20273267326732675
55,True,balanced_subsample,gini,,auto,4,10,10,0.6473737373737374,0.3366576080853453,0.23063366336633662
56,False,,entropy,,auto,4,10,10,0.8396221532091097,0.29684924316478567,0.18093069306930692
57,False,balanced_subsample,gini,10.0,sqrt,1,10,10,0.377644249108491,0.409023272985796,0.44740594059405936
58,False,balanced,entropy,10.0,auto,1,10,200,0.39172716572281535,0.4230183686368553,0.4634059405940594
59,False,balanced_subsample,gini,10.0,sqrt,1,2,100,0.4184005741688347,0.42267724325687217,0.4316237623762376
60,True,balanced_subsample,gini,10.0,sqrt,1,2,100,0.5334633495614828,0.3948008585679345,0.3182178217821782
61,False,balanced_subsample,entropy,,sqrt,4,10,50,0.7591346153846154,0.35209510754475526,0.23065346534653464
62,False,balanced,gini,10.0,auto,4,2,200,0.41458887447015186,0.4271571381524158,0.4435049504950495
63,True,balanced,gini,10.0,auto,1,10,100,0.5201396916336675,0.4027759600646893,0.3321386138613861
64,False,balanced,gini,50.0,sqrt,2,10,200,0.86245670995671,0.3396797445682727,0.21269306930693072
65,False,balanced,gini,,sqrt,2,2,200,0.9097315462315463,0.31671054157322387,0.1928910891089109
66,False,,entropy,50.0,auto,2,2,200,0.9805555555555555,0.2984891717373229,0.17695049504950494
67,True,balanced_subsample,gini,,auto,1,2,10,0.8937543859649122,0.29054910975884607,0.17499009900990098
68,True,balanced,gini,10.0,auto,2,10,10,0.4063986448795303,0.3638040237998751,0.3321980198019802
69,True,balanced_subsample,entropy,,auto,1,10,100,0.9633650793650794,0.30017248361258175,0.1789108910891089
