,f__C,f__class_weight,f__decision_function_shape,f__degree,f__gamma,f__kernel,prec,f1,recall
0,4.0,,ovo,5,auto,rbf,0.9888888888888889,0.25722896498545456,0.1491089108910891
1,0.1,,ovr,3,auto,poly,0.0,0.0,0.0
2,0.1,,ovo,5,scale,rbf,1.0,0.25772150446104486,0.1491089108910891
3,0.5,balanced,ovr,5,auto,linear,0.14758801648197256,0.248935165159543,0.7973267326732671
4,0.1,,ovr,3,scale,rbf,1.0,0.25772150446104486,0.1491089108910891
5,4.0,balanced,ovo,3,auto,sigmoid,0.11978855278392575,0.20791984654662138,0.8012871287128712
6,0.1,balanced,ovo,2,auto,rbf,0.44208727471071435,0.17229870323191665,0.6040990099009901
7,0.5,balanced,ovo,3,scale,sigmoid,0.07855147337451876,0.14062997202616218,0.6720792079207921
8,0.5,,ovr,2,scale,poly,1.0,0.25772150446104486,0.1491089108910891
9,0.5,,ovr,3,scale,rbf,1.0,0.25772150446104486,0.1491089108910891
10,2.0,,ovo,5,auto,sigmoid,0.0,0.0,0.0
11,1.0,,ovr,5,auto,linear,0.990909090909091,0.2571617283714807,0.1491089108910891
12,0.1,balanced,ovr,3,auto,sigmoid,0.0258230012825994,0.04951491810000068,0.6
13,4.0,,ovo,3,scale,rbf,0.951140350877193,0.2611389068032177,0.1531089108910891
14,2.0,,ovo,3,scale,sigmoid,0.24507621431152193,0.20330625402965827,0.17693069306930695
15,1.0,,ovo,3,auto,rbf,0.0,0.0,0.0
16,1.0,balanced,ovr,5,auto,linear,0.150031662233634,0.25232467140683357,0.7952673267326732
17,4.0,,ovr,3,scale,rbf,0.951140350877193,0.2611389068032177,0.1531089108910891
18,2.0,,ovr,3,auto,rbf,0.0,0.0,0.0
19,0.5,,ovo,5,scale,poly,1.0,0.25772150446104486,0.1491089108910891
20,1.0,balanced,ovo,2,auto,sigmoid,0.13370877726535804,0.21711172434686737,0.67
21,0.5,,ovo,2,auto,poly,0.0,0.0,0.0
22,1.0,balanced,ovo,2,scale,rbf,0.18405249353259828,0.2958164803496876,0.7554257425742575
23,2.0,,ovo,5,auto,poly,0.0,0.0,0.0
24,0.5,,ovo,3,scale,rbf,1.0,0.25772150446104486,0.1491089108910891
25,2.0,balanced,ovo,2,auto,linear,0.15523394375523641,0.260359143876969,0.8091683168316832
26,1.0,balanced,ovo,5,auto,rbf,0.11187230402528991,0.19550896750416719,0.8052673267326733
27,1.0,balanced,ovo,5,auto,poly,0.017272338606241982,0.033114754098360656,0.4
28,4.0,,ovo,5,scale,sigmoid,0.21632036425835363,0.19861460340072448,0.18687128712871287
29,4.0,balanced,ovo,3,auto,linear,0.1555514277641065,0.2606748841620279,0.805207920792079
30,4.0,balanced,ovo,2,auto,sigmoid,0.11978855278392575,0.20791984654662138,0.8012871287128712
31,0.1,balanced,ovr,3,auto,linear,0.1403901174116108,0.2384918827221556,0.7972673267326733
32,0.5,balanced,ovo,5,auto,rbf,0.13396688722881261,0.21749084793413004,0.67
33,1.0,balanced,ovr,3,scale,sigmoid,0.07422212359120084,0.13340751738998496,0.660118811881188
34,0.5,balanced,ovo,2,auto,sigmoid,0.21948069325096586,0.21404195846012913,0.28603960396039607
35,1.0,balanced,ovr,2,scale,rbf,0.18405249353259828,0.2958164803496876,0.7554257425742575
36,1.0,,ovo,3,scale,sigmoid,0.36057359307359305,0.23418421062565775,0.17693069306930695
37,0.5,,ovo,2,auto,linear,0.9797979797979799,0.25666918889589035,0.1491089108910891
38,4.0,balanced,ovo,2,auto,linear,0.1555514277641065,0.2606748841620279,0.805207920792079
39,0.5,balanced,ovr,5,scale,poly,0.20477737721043598,0.31387675515161956,0.673980198019802
40,0.1,balanced,ovo,5,scale,rbf,0.1587516785546062,0.2642690044071,0.7973069306930693
41,1.0,balanced,ovo,3,auto,rbf,0.11187230402528991,0.19550896750416719,0.8052673267326733
42,1.0,balanced,ovo,5,auto,sigmoid,0.13370877726535804,0.21711172434686737,0.67
43,4.0,,ovo,5,scale,linear,0.990909090909091,0.2571617283714807,0.1491089108910891
44,1.0,balanced,ovr,3,scale,linear,0.150031662233634,0.25232467140683357,0.7952673267326732
45,4.0,,ovo,5,auto,sigmoid,0.0,0.0,0.0
46,4.0,,ovo,2,scale,linear,0.990909090909091,0.2571617283714807,0.1491089108910891
47,4.0,balanced,ovr,5,auto,poly,0.017272338606241982,0.033114754098360656,0.4
48,0.5,,ovo,3,scale,sigmoid,0.6417803353225348,0.2596232011448295,0.164990099009901
49,0.1,,ovo,3,scale,poly,1.0,0.25772150446104486,0.1491089108910891
50,0.5,balanced,ovr,5,auto,poly,0.017272338606241982,0.033114754098360656,0.4
51,4.0,balanced,ovr,3,scale,rbf,0.21050746926555086,0.32240131817704093,0.6897623762376238
