,Unnamed: 0,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
0,0,True,balanced,entropy,,sqrt,4,2,100,0.8834967320261438,0.2533654453509209,0.1491089108910891
1,1,True,,gini,10.0,sqrt,4,10,100,0.9496031746031748,0.2551728419417362,0.1491089108910891
2,2,True,balanced,gini,10.0,sqrt,1,10,100,0.6202201038518174,0.24221588460355234,0.1511089108910891
3,3,True,balanced_subsample,entropy,10.0,sqrt,1,2,200,0.6425272025272025,0.24822923417769074,0.15506930693069307
4,4,False,balanced,gini,50.0,sqrt,4,10,200,0.5218581663434605,0.23698646978148544,0.1550891089108911
5,5,True,,entropy,10.0,auto,1,2,10,0.9465240641711229,0.2592453028874982,0.1511089108910891
6,6,False,,gini,,sqrt,2,2,50,0.921818181818182,0.25804872169091697,0.1511089108910891
7,7,False,balanced,entropy,50.0,sqrt,2,10,10,0.37899865047233466,0.22917281993878966,0.16504950495049506
8,8,False,balanced,gini,10.0,auto,1,2,200,0.1493475525621764,0.16819022001261744,0.1989306930693069
9,9,True,,gini,,auto,4,10,50,0.9372222222222224,0.2547761981583647,0.1491089108910891
10,10,True,balanced,entropy,,auto,1,10,10,0.6193289002075079,0.2431771496477379,0.1530891089108911
11,11,True,,entropy,10.0,sqrt,2,10,10,0.9483333333333336,0.25526873763395497,0.1491089108910891
12,12,True,,entropy,50.0,auto,2,2,50,0.9655122655122657,0.2562655248685654,0.1491089108910891
13,13,True,balanced_subsample,entropy,,sqrt,1,10,100,0.9271794871794872,0.2559728799125581,0.1491089108910891
14,14,True,balanced,gini,10.0,sqrt,2,2,50,0.5565643382898914,0.2395583996482884,0.15506930693069307
15,15,True,balanced,gini,10.0,sqrt,1,2,50,0.5650837650837651,0.24031313615163466,0.1530891089108911
16,16,True,,entropy,10.0,auto,2,2,50,0.97979797979798,0.25666918889589035,0.1491089108910891
17,17,True,balanced_subsample,gini,10.0,auto,4,2,100,0.6156217948717948,0.24699834417174585,0.1550891089108911
18,18,True,balanced_subsample,gini,50.0,sqrt,4,10,50,0.8157777777777777,0.2505795407381055,0.1491089108910891
19,19,False,balanced,entropy,,auto,1,2,200,0.8720359465096308,0.2536038985355277,0.1491089108910891
20,20,True,balanced_subsample,entropy,,auto,1,2,10,0.9551515151515152,0.25659944632859816,0.1491089108910891
21,21,True,,entropy,,auto,4,10,200,0.9638888888888888,0.2555765059690612,0.1491089108910891
