,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
0,True,balanced,entropy,10.0,sqrt,4,2,50,0.0,0.0,0.0
1,True,,entropy,,auto,4,10,10,0.0,0.0,0.0
2,False,balanced_subsample,entropy,,sqrt,1,2,10,0.2833333333333333,0.08563467492260061,0.05083333333333333
3,False,balanced,entropy,,auto,4,10,10,0.17738095238095236,0.09178743961352656,0.06416666666666666
4,True,,gini,,auto,4,10,100,0.0,0.0,0.0
5,False,,entropy,10.0,sqrt,1,10,200,0.0,0.0,0.0
6,False,balanced_subsample,gini,,sqrt,4,2,50,0.20714285714285713,0.09243586762768348,0.06416666666666666
7,True,,entropy,,auto,2,2,10,0.0,0.0,0.0
8,True,,entropy,10.0,auto,4,2,50,0.0,0.0,0.0
9,True,balanced,entropy,10.0,auto,2,10,100,0.0,0.0,0.0
10,False,balanced,gini,10.0,sqrt,2,10,100,0.15205128205128204,0.08522588522588523,0.06416666666666666
11,True,balanced_subsample,entropy,,auto,4,2,50,0.0,0.0,0.0
12,True,balanced,entropy,,auto,2,2,100,0.0,0.0,0.0
13,False,,entropy,,auto,1,2,100,0.0,0.0,0.0
14,True,,entropy,10.0,sqrt,4,2,50,0.0,0.0,0.0
15,False,balanced,gini,,sqrt,1,2,200,0.18333333333333332,0.06210526315789473,0.0375
16,True,balanced_subsample,gini,50.0,auto,4,2,50,0.0,0.0,0.0
17,True,,entropy,,auto,2,10,50,0.0,0.0,0.0
18,True,,entropy,50.0,sqrt,4,10,10,0.0,0.0,0.0
19,False,balanced,gini,10.0,auto,4,10,200,0.16468253968253968,0.0890048309178744,0.06416666666666666
20,False,balanced,entropy,10.0,sqrt,4,10,10,0.15833333333333333,0.08761352657004831,0.06416666666666666
21,True,,gini,50.0,auto,2,10,10,0.0,0.0,0.0
22,True,,gini,,sqrt,1,2,50,0.0,0.0,0.0
23,True,,gini,10.0,auto,2,2,50,0.0,0.0,0.0
24,True,,entropy,10.0,auto,1,10,200,0.0,0.0,0.0
25,True,balanced,entropy,,sqrt,1,2,50,0.0,0.0,0.0
26,True,,entropy,50.0,sqrt,1,10,10,0.0,0.0,0.0
27,True,,gini,10.0,auto,1,10,200,0.0,0.0,0.0
28,False,balanced_subsample,entropy,50.0,auto,2,10,10,0.146031746031746,0.07367149758454106,0.05166666666666666
29,True,balanced,gini,10.0,sqrt,2,2,100,0.0,0.0,0.0
30,True,balanced,gini,10.0,sqrt,4,10,10,0.075,0.05,0.0375
31,False,balanced,gini,,sqrt,4,2,100,0.19714285714285712,0.09510006901311249,0.06416666666666666
32,True,balanced,gini,50.0,auto,1,10,200,0.0,0.0,0.0
33,True,balanced_subsample,gini,,auto,1,10,50,0.0,0.0,0.0
34,True,balanced_subsample,entropy,,sqrt,1,10,50,0.0,0.0,0.0
35,False,balanced_subsample,gini,,sqrt,4,10,50,0.20714285714285713,0.09243586762768348,0.06416666666666666
36,True,balanced_subsample,gini,10.0,auto,2,2,200,0.0,0.0,0.0
37,True,balanced_subsample,entropy,,sqrt,4,2,100,0.0,0.0,0.0
38,True,balanced_subsample,gini,10.0,sqrt,2,2,10,0.3,0.0457516339869281,0.025
39,True,balanced_subsample,entropy,50.0,auto,4,10,200,0.0,0.0,0.0
40,True,balanced_subsample,entropy,10.0,auto,1,10,200,0.0,0.0,0.0
41,False,,entropy,,sqrt,4,2,50,0.0,0.0,0.0
42,False,,entropy,50.0,sqrt,4,10,200,0.0,0.0,0.0
43,True,,gini,,auto,4,2,200,0.0,0.0,0.0
44,True,balanced,gini,,auto,2,2,10,0.1,0.02222222222222222,0.0125
45,False,balanced,entropy,10.0,auto,4,2,100,0.18333333333333332,0.09278499278499278,0.06416666666666666
46,False,balanced,entropy,50.0,sqrt,2,10,200,0.19238095238095237,0.09423426814731162,0.06416666666666666
47,False,balanced_subsample,gini,10.0,sqrt,1,2,10,0.17936507936507937,0.07431202046035805,0.05083333333333333
48,True,balanced,entropy,10.0,auto,2,2,200,0.0,0.0,0.0
49,True,,entropy,,auto,1,10,100,0.0,0.0,0.0
50,True,balanced_subsample,gini,50.0,sqrt,4,10,10,0.2571428571428571,0.05831202046035806,0.0375
51,True,,gini,50.0,auto,4,10,50,0.0,0.0,0.0
52,True,,entropy,10.0,sqrt,4,2,100,0.0,0.0,0.0
53,True,balanced,gini,,sqrt,2,10,10,0.12,0.05714285714285714,0.0375
54,False,balanced_subsample,entropy,,sqrt,4,10,100,0.1796825396825397,0.09145165945165945,0.06416666666666666
55,False,,entropy,10.0,auto,2,2,100,0.0,0.0,0.0
56,True,balanced_subsample,entropy,50.0,sqrt,4,10,200,0.0,0.0,0.0
57,False,balanced,gini,10.0,auto,1,10,200,0.15595238095238095,0.08601532567049808,0.06416666666666666
58,True,balanced,gini,,auto,4,10,50,0.0,0.0,0.0
59,False,balanced,gini,,sqrt,1,2,10,0.31666666666666665,0.1057516339869281,0.06416666666666666
60,True,balanced_subsample,entropy,50.0,auto,2,10,10,0.27999999999999997,0.06162464985994398,0.0375
61,False,balanced_subsample,entropy,10.0,sqrt,2,2,50,0.23166666666666663,0.09655971479500892,0.06416666666666666
62,True,balanced,gini,10.0,auto,4,10,200,0.0,0.0,0.0
63,False,balanced,gini,10.0,auto,1,2,100,0.18888888888888888,0.07589304812834224,0.05083333333333333
64,True,balanced,gini,50.0,auto,2,2,100,0.0,0.0,0.0
65,False,,gini,50.0,sqrt,4,10,10,0.0,0.0,0.0
66,True,balanced_subsample,gini,10.0,sqrt,2,2,10,0.3,0.0457516339869281,0.025
67,True,balanced,gini,50.0,auto,2,2,10,0.1,0.02222222222222222,0.0125
