,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
0,logistic,0.001,"(50, 50, 50)",constant,200,lbfgs,0.0,0.0,0.0
1,tanh,0.001,"(50, 50, 50)",adaptive,400,adam,0.4518804306645053,0.3013749384701615,0.22824869305451828
2,logistic,0.0001,"(50, 5)",adaptive,200,lbfgs,0.407901949387895,0.30830320496709707,0.2806011949215833
3,tanh,0.01,"(50, 50, 50)",adaptive,200,adam,0.47738078726178257,0.2930114658929831,0.21277072442120987
4,tanh,0.001,"(50, 50, 50)",adaptive,200,lbfgs,0.370192981174163,0.35469580787860344,0.34828230022404777
5,relu,0.0001,"(50, 5)",adaptive,200,adam,0.5292822966507177,0.3502457357076051,0.2649365197908887
6,relu,0.0001,"(20, 40, 10)",constant,400,adam,0.34426602734268535,0.33547682187438677,0.33078790141896935
7,tanh,0.0001,"(50, 50, 50)",constant,200,sgd,0.2,0.035398230088495575,0.019417475728155338
8,tanh,0.01,"(50, 100, 50)",constant,400,adam,0.5183537296037296,0.29691040119761414,0.22040702016430166
9,tanh,0.01,"(50, 50, 50)",adaptive,400,lbfgs,0.32322906412547386,0.31314388509673774,0.30573188946975355
10,logistic,0.05,"(50, 50, 50)",adaptive,200,adam,0.0,0.0,0.0
11,tanh,0.01,"(50, 50, 50)",adaptive,400,sgd,0.38181818181818183,0.10012836970474967,0.058252427184466014
12,relu,0.001,"(100,)",adaptive,200,lbfgs,0.3232691409897292,0.32380271584897785,0.32688573562359974
13,logistic,0.05,"(50, 50, 50)",constant,400,sgd,0.0,0.0,0.0
14,logistic,0.01,"(100,)",adaptive,400,sgd,0.0,0.0,0.0
15,relu,0.05,"(100,)",adaptive,200,adam,0.8198045112781955,0.26868963273276547,0.16249066467513068
16,logistic,0.01,"(50, 100, 50)",constant,400,sgd,0.0,0.0,0.0
17,tanh,0.0001,"(20, 40, 10)",adaptive,400,sgd,0.0,0.0,0.0
18,logistic,0.05,"(50, 5)",adaptive,400,sgd,0.0,0.0,0.0
19,tanh,0.01,"(100,)",adaptive,200,adam,0.6418831168831167,0.2833769192171715,0.18571695294996265
20,logistic,0.001,"(100,)",constant,400,lbfgs,0.3413539886904373,0.3357739283567608,0.3327109783420463
21,tanh,0.001,"(50, 100, 50)",constant,400,adam,0.4999593315587105,0.2924541937545334,0.22233009708737866
22,logistic,0.05,"(50, 5)",constant,200,sgd,0.0,0.0,0.0
23,tanh,0.05,"(50, 100, 50)",constant,400,lbfgs,0.32887637813746184,0.33160095642430154,0.33646377893950713
24,logistic,0.0001,"(20, 40, 10)",adaptive,400,adam,0.0,0.0,0.0
