,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
0,relu,0.01,"(100,)",constant,400,adam,0.0,0.0,0.0
1,logistic,0.01,"(50, 50, 50)",constant,200,lbfgs,0.0,0.0,0.0
2,logistic,0.001,"(50, 50, 50)",adaptive,400,adam,0.0,0.0,0.0
3,logistic,0.001,"(50, 100, 50)",constant,400,sgd,0.0,0.0,0.0
4,relu,0.001,"(50, 5)",constant,400,lbfgs,0.12378618113912232,0.1270238095238095,0.1361904761904762
5,logistic,0.0001,"(50, 100, 50)",adaptive,200,adam,0.0,0.0,0.0
6,logistic,0.05,"(50, 5)",constant,400,lbfgs,0.0,0.0,0.0
7,relu,0.001,"(50, 50, 50)",adaptive,400,lbfgs,0.19083333333333333,0.16906832298136648,0.1638095238095238
8,relu,0.05,"(50, 50, 50)",constant,200,sgd,0.0,0.0,0.0
9,tanh,0.001,"(50, 50, 50)",adaptive,200,lbfgs,0.16612745098039217,0.1639957264957265,0.1638095238095238
10,tanh,0.001,"(20, 40, 10)",adaptive,400,sgd,0.0,0.0,0.0
11,relu,0.0001,"(50, 50, 50)",constant,200,lbfgs,0.20791208791208787,0.19156896071596616,0.1895238095238095
12,tanh,0.05,"(20, 40, 10)",constant,400,sgd,0.0,0.0,0.0
13,logistic,0.0001,"(50, 5)",constant,400,lbfgs,0.0,0.0,0.0
14,logistic,0.0001,"(50, 5)",constant,200,lbfgs,0.0,0.0,0.0
15,relu,0.05,"(50, 5)",adaptive,400,adam,0.0,0.0,0.0
16,tanh,0.05,"(50, 5)",adaptive,200,adam,0.0,0.0,0.0
17,logistic,0.01,"(50, 100, 50)",adaptive,200,lbfgs,0.0,0.0,0.0
18,relu,0.05,"(50, 100, 50)",adaptive,200,adam,0.4038095238095238,0.16866497795290364,0.10952380952380951
19,relu,0.0001,"(50, 50, 50)",constant,200,adam,0.575,0.1880511060259344,0.12190476190476189
20,logistic,0.0001,"(50, 50, 50)",constant,400,lbfgs,0.0,0.0,0.0
21,relu,0.05,"(100,)",constant,200,sgd,0.0,0.0,0.0
22,tanh,0.05,"(100,)",constant,400,adam,0.0,0.0,0.0
23,logistic,0.05,"(50, 100, 50)",adaptive,400,lbfgs,0.0,0.0,0.0
24,relu,0.05,"(50, 5)",constant,400,lbfgs,0.14683257918552037,0.1526078551078551,0.16285714285714287
25,tanh,0.05,"(50, 100, 50)",adaptive,400,lbfgs,0.19291316526610644,0.19081564986737395,0.1895238095238095
26,logistic,0.05,"(50, 100, 50)",adaptive,200,adam,0.0,0.0,0.0
27,relu,0.01,"(20, 40, 10)",adaptive,200,lbfgs,0.18762541806020067,0.18701765442003132,0.19047619047619047
28,relu,0.001,"(100,)",adaptive,200,sgd,0.0,0.0,0.0
29,tanh,0.01,"(50, 5)",constant,200,sgd,0.0,0.0,0.0
30,relu,0.001,"(20, 40, 10)",adaptive,200,sgd,0.0,0.0,0.0
31,tanh,0.05,"(50, 50, 50)",constant,400,adam,0.0,0.0,0.0
32,tanh,0.001,"(50, 100, 50)",adaptive,400,sgd,0.0,0.0,0.0
33,relu,0.001,"(20, 40, 10)",adaptive,400,lbfgs,0.16227272727272726,0.15950528865422484,0.17619047619047618
34,tanh,0.001,"(50, 100, 50)",constant,400,lbfgs,0.13069947596263387,0.13881747293511998,0.15047619047619049
35,relu,0.01,"(50, 5)",adaptive,200,lbfgs,0.13115067079463366,0.13300831995329152,0.1361904761904762
36,logistic,0.01,"(20, 40, 10)",adaptive,200,adam,0.0,0.0,0.0
37,relu,0.001,"(50, 5)",adaptive,400,adam,0.2761904761904762,0.13535353535353534,0.09333333333333334
38,logistic,0.0001,"(50, 100, 50)",constant,200,adam,0.0,0.0,0.0
39,tanh,0.001,"(50, 5)",adaptive,400,adam,0.1919191919191919,0.13565138565138565,0.10952380952380951
40,logistic,0.01,"(50, 50, 50)",constant,200,adam,0.0,0.0,0.0
41,logistic,0.0001,"(50, 5)",constant,400,sgd,0.0,0.0,0.0
42,tanh,0.001,"(50, 5)",adaptive,200,sgd,0.0,0.0,0.0
43,tanh,0.05,"(20, 40, 10)",adaptive,200,lbfgs,0.19411764705882356,0.1957304147465438,0.20476190476190476
44,tanh,0.01,"(50, 5)",adaptive,200,sgd,0.0,0.0,0.0
45,tanh,0.05,"(50, 100, 50)",constant,400,lbfgs,0.18151515151515155,0.18409641970932294,0.1895238095238095
46,logistic,0.01,"(100,)",adaptive,200,lbfgs,0.0,0.0,0.0
47,relu,0.05,"(50, 5)",constant,200,adam,0.0,0.0,0.0
48,tanh,0.0001,"(50, 100, 50)",adaptive,400,lbfgs,0.12664742664742665,0.13902467833502316,0.16285714285714287
49,tanh,0.05,"(50, 5)",adaptive,400,lbfgs,0.15967723796671165,0.1671652095181507,0.17714285714285713
50,relu,0.01,"(50, 100, 50)",constant,200,sgd,0.0,0.0,0.0
