,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
0,True,,entropy,10.0,auto,1,10,100,0.9644736842105264,0.26230879919418665,0.1528005974607916
1,False,balanced,gini,10.0,auto,2,10,10,0.28673014954444,0.3469964992469915,0.4468446601941748
2,True,,gini,,auto,1,2,100,0.9548331613347092,0.2674618749051624,0.1566654219566841
3,True,balanced_subsample,gini,10.0,sqrt,4,10,10,0.3098087892160722,0.3242754283417069,0.34817027632561615
4,False,balanced,gini,10.0,sqrt,1,10,100,0.29858749708957216,0.34916270890089407,0.4274645257654967
5,True,balanced,entropy,50.0,auto,1,10,10,0.7814124329776503,0.2941290325371023,0.1818334578043316
6,False,,gini,,sqrt,2,2,100,0.9313283208020049,0.2841936241376465,0.1683159073935773
7,True,balanced_subsample,gini,50.0,sqrt,1,10,100,0.8237468413939002,0.2814696443341605,0.17022031366691562
8,True,,gini,50.0,sqrt,4,2,10,0.9761403508771929,0.2687287520492319,0.1566840926064227
9,False,balanced,gini,10.0,auto,2,2,10,0.26228213315562476,0.3265835384000701,0.44094473487677366
10,False,balanced,gini,,sqrt,2,2,200,0.843040293040293,0.3068482025184315,0.1895817774458551
11,True,balanced,gini,50.0,auto,4,2,200,0.8063495446487774,0.30063799717343026,0.18569828230022406
12,True,,gini,50.0,sqrt,2,10,200,0.9516959064327484,0.258871291959888,0.1508775205377147
13,True,,gini,,sqrt,4,2,200,0.9516959064327484,0.258871291959888,0.1508775205377147
14,True,balanced_subsample,gini,,auto,2,2,200,0.9186853002070393,0.2771373895233643,0.1644510828976848
15,True,,gini,10.0,auto,1,2,10,0.9694235588972431,0.26489830904360934,0.15472367438386855
16,True,,entropy,50.0,auto,2,10,10,0.8875788576300085,0.2676784475129434,0.15864451082897685
17,True,balanced_subsample,entropy,50.0,auto,2,2,200,0.9454761904761906,0.2813864422627396,0.16639283047050035
18,True,,gini,,auto,2,10,10,0.9345374305328539,0.2720974714431641,0.16054891710231517
19,True,balanced,entropy,50.0,auto,4,10,50,0.8182905982905982,0.2906676106963687,0.17796863330843912
20,True,balanced_subsample,gini,10.0,auto,4,2,100,0.3918899889295657,0.3588873192462672,0.34238237490664675
21,True,,gini,,auto,4,2,10,0.9782352941176471,0.2804667976368079,0.164395070948469
22,True,balanced,gini,50.0,auto,4,2,50,0.7717218265605363,0.31507880356884266,0.19925317401045556
23,False,balanced,entropy,,auto,4,10,200,0.7343755169561621,0.32526849421338067,0.2108103061986557
24,True,balanced_subsample,gini,,sqrt,4,2,200,0.8290752351097179,0.30498643085012367,0.18762135922330098
25,True,balanced,entropy,,sqrt,2,2,100,0.938794951178852,0.2788919694134316,0.1644510828976848
26,True,,gini,50.0,sqrt,2,10,100,0.9516959064327484,0.258871291959888,0.1508775205377147
27,True,,gini,50.0,auto,2,10,50,0.9640768588137009,0.25924160957846076,0.1508775205377147
28,True,balanced_subsample,entropy,,sqrt,4,2,10,0.652370605277582,0.30955899078349564,0.20505974607916358
29,True,balanced,gini,10.0,sqrt,4,10,10,0.3328901691670955,0.3521815725363173,0.3790888722927558
30,True,balanced_subsample,entropy,,auto,2,10,10,0.6973144252246636,0.3022591598170397,0.1935026138909634
31,True,,entropy,,auto,4,10,200,0.9516959064327484,0.26206955309946256,0.15281926811053023
32,True,balanced,entropy,50.0,auto,1,2,200,0.9448564593301434,0.27315877590992593,0.16056758775205376
33,True,balanced,entropy,,sqrt,2,10,200,0.8706762307105557,0.2967386337540171,0.17994772218073188
34,False,balanced_subsample,entropy,,auto,1,10,100,0.7877078309981537,0.30700959103224573,0.19154219566840924
35,True,,gini,,auto,2,10,200,0.9516959064327484,0.258871291959888,0.1508775205377147
36,True,,gini,50.0,sqrt,1,2,200,0.9450292397660818,0.2670554259145107,0.1566654219566841
37,True,balanced_subsample,entropy,10.0,auto,1,10,10,0.28785682391931255,0.3276493159296378,0.3906833457804332
38,False,,gini,50.0,auto,1,10,50,0.9256140350877192,0.27512167935070014,0.16249066467513068
39,True,,gini,50.0,auto,1,2,100,0.9554179566563465,0.27027992124034733,0.15860716952949963
40,True,,entropy,10.0,auto,4,2,10,0.9616959064327485,0.2624808968894576,0.15281926811053023
41,False,,gini,,sqrt,1,10,50,0.921735588972431,0.2810688981050554,0.16637415982076176
42,True,,gini,10.0,sqrt,4,2,50,0.9408625730994153,0.2585071463016247,0.1508775205377147
43,True,balanced,entropy,50.0,auto,1,2,50,0.9459090909090909,0.27282275599098227,0.16056758775205376
44,True,balanced,entropy,10.0,auto,1,10,50,0.35215362584410737,0.3551658385466279,0.367419716206124
45,False,,entropy,50.0,sqrt,4,2,10,0.8413015873015872,0.2898114067045358,0.17602688573562358
46,False,,entropy,10.0,auto,4,2,200,0.9894736842105264,0.2600865769719644,0.1508775205377147
47,True,balanced_subsample,entropy,,auto,1,10,50,0.8427657342657342,0.2927015732844006,0.1779312920089619
48,True,,entropy,10.0,auto,2,10,100,0.9751879699248122,0.2597099291376895,0.1508775205377147
49,True,balanced_subsample,entropy,10.0,sqrt,2,2,100,0.37567680333219283,0.3583813395286898,0.3578043315907393
50,True,balanced_subsample,entropy,50.0,auto,1,2,10,0.9176376811594202,0.2793892173743263,0.16633681852128454
51,True,,gini,,sqrt,1,10,50,0.9533625730994153,0.2650387407745326,0.15474234503360715
52,True,balanced,gini,50.0,auto,2,10,100,0.8198853695324283,0.2915085635619989,0.17798730395817774
53,True,balanced,gini,,sqrt,4,2,100,0.8095620936398967,0.3089109892678209,0.1914861837191934
54,False,balanced_subsample,gini,,sqrt,1,10,100,0.8145715339427306,0.31578643578643584,0.19731142643764005
55,False,balanced_subsample,entropy,50.0,auto,1,10,100,0.8163581899044694,0.30925069512324466,0.19150485436893203
56,True,balanced_subsample,gini,10.0,auto,1,10,100,0.40189165769282537,0.36855796379527134,0.35205377147124717
57,True,,entropy,50.0,auto,4,2,10,0.9296376811594202,0.28269149715382796,0.1682972367438387
58,False,,gini,,sqrt,2,10,10,0.8651616637501682,0.28912100990185585,0.17412247946228526
59,False,,entropy,,auto,2,2,100,0.9363335875921688,0.2754956606181966,0.16249066467513068
