,f__C,f__class_weight,f__decision_function_shape,f__degree,f__gamma,f__kernel,prec,f1,recall
0,4.0,balanced,ovo,5,auto,linear,0.1426240226600659,0.24388685570195956,0.8414115011202389
1,1.0,balanced,ovr,5,scale,linear,0.13597402865122157,0.23394003147880443,0.8375466766243465
2,1.0,,ovo,2,scale,rbf,1.0,0.26056638504873375,0.1508775205377147
3,1.0,,ovr,2,scale,rbf,1.0,0.26056638504873375,0.1508775205377147
4,0.1,,ovr,5,auto,sigmoid,0.0,0.0,0.0
5,0.1,balanced,ovo,5,auto,poly,0.04421069300963211,0.08467765022138787,1.0
6,4.0,,ovr,2,auto,poly,0.0,0.0,0.0
7,0.5,,ovo,5,auto,sigmoid,0.0,0.0,0.0
8,2.0,balanced,ovo,3,auto,sigmoid,0.10545812172738807,0.18668340420931867,0.8143764002987304
9,4.0,balanced,ovr,2,auto,rbf,0.11900729848523009,0.20789516229707616,0.8221060492905152
10,0.5,,ovr,5,auto,sigmoid,0.0,0.0,0.0
11,2.0,balanced,ovr,3,scale,sigmoid,0.08510390241927236,0.15083032816683561,0.6635362210604929
12,0.1,balanced,ovr,5,scale,linear,0.1215376410483157,0.21200482507230625,0.8298543689320388
13,0.1,,ovr,2,scale,rbf,1.0,0.26056638504873375,0.1508775205377147
14,1.0,balanced,ovr,2,auto,poly,0.008892689183411715,0.017028243962341386,0.2
15,1.0,balanced,ovr,3,auto,linear,0.13597402865122157,0.23394003147880443,0.8375466766243465
16,0.1,,ovo,2,scale,poly,0.9818181818181818,0.26025587425848373,0.1508775205377147
17,0.1,,ovr,3,auto,poly,0.0,0.0,0.0
18,0.5,balanced,ovo,3,auto,poly,0.008892689183411715,0.017028243962341386,0.2
19,2.0,,ovr,5,auto,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
20,1.0,,ovo,3,scale,poly,0.8360979174278407,0.26584166156534567,0.158588498879761
21,2.0,balanced,ovo,3,scale,rbf,0.21670521072138538,0.32457439792313686,0.6498879761015683
22,1.0,,ovo,3,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
23,4.0,,ovo,2,auto,poly,0.0,0.0,0.0
24,2.0,,ovo,5,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
25,2.0,balanced,ovo,3,auto,rbf,0.11246225212492489,0.197711773162024,0.8182038834951456
26,0.5,,ovo,5,scale,poly,0.7728678929765886,0.26468847880364493,0.16053024645257655
27,1.0,,ovo,2,auto,poly,0.0,0.0,0.0
28,0.5,,ovr,3,auto,rbf,0.0,0.0,0.0
29,0.5,,ovr,5,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
30,2.0,,ovr,2,auto,rbf,1.0,0.26056638504873375,0.1508775205377147
31,0.1,,ovo,3,scale,sigmoid,0.0,0.0,0.0
32,0.5,balanced,ovo,5,scale,rbf,0.1808108104547752,0.29078952928349977,0.7447722180731889
33,4.0,balanced,ovo,5,scale,rbf,0.24341672459725708,0.34861097007930353,0.6169902912621359
34,2.0,balanced,ovr,3,auto,linear,0.14035544483202833,0.24040824409432499,0.8375466766243465
35,4.0,balanced,ovr,3,auto,sigmoid,0.11236550278673796,0.19756380768969578,0.8182038834951456
36,0.5,,ovo,2,scale,rbf,1.0,0.26056638504873375,0.1508775205377147
37,2.0,balanced,ovr,5,auto,poly,0.008892689183411715,0.017028243962341386,0.2
38,2.0,balanced,ovo,5,auto,poly,0.008892689183411715,0.017028243962341386,0.2
39,1.0,,ovr,3,auto,sigmoid,0.0,0.0,0.0
40,1.0,balanced,ovr,2,scale,poly,0.18804620282236809,0.29849128452354157,0.7273338312173264
41,1.0,balanced,ovr,5,auto,rbf,0.10558954903647896,0.18694039327532425,0.8162994772218072
42,0.5,balanced,ovo,2,scale,poly,0.1826159219054579,0.2914769778605725,0.725485436893204
43,0.5,balanced,ovr,5,auto,sigmoid,0.11410982736496275,0.19080998998664522,0.6015123226288275
44,0.5,balanced,ovr,2,scale,poly,0.1826159219054579,0.2914769778605725,0.725485436893204
45,0.5,balanced,ovo,3,auto,linear,0.13301415822667031,0.22977341374563381,0.8433905899925316
46,0.1,,ovr,3,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
47,0.5,balanced,ovo,2,scale,sigmoid,0.08943037998105023,0.15829666635495354,0.6887042569081405
48,2.0,,ovr,5,scale,rbf,0.9666666666666668,0.2599507636558903,0.1508775205377147
49,0.5,,ovr,5,auto,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
50,4.0,balanced,ovr,2,auto,linear,0.14262713840881133,0.2438908735013947,0.8414115011202389
51,2.0,,ovr,5,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
52,1.0,balanced,ovr,2,auto,sigmoid,0.09965396181945746,0.17639277880886975,0.7698842419716206
53,1.0,balanced,ovo,3,auto,rbf,0.10558954903647896,0.18694039327532425,0.8162994772218072
54,1.0,,ovo,2,auto,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
55,2.0,balanced,ovo,5,auto,sigmoid,0.10543218139016368,0.18664312960977636,0.8143764002987304
56,0.1,,ovr,5,scale,rbf,1.0,0.26056638504873375,0.1508775205377147
57,0.5,balanced,ovo,3,auto,sigmoid,0.11410982736496275,0.19080998998664522,0.6015123226288275
58,0.5,,ovr,2,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
59,1.0,,ovo,2,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
60,4.0,balanced,ovr,2,scale,rbf,0.24341672459725708,0.34861097007930353,0.6169902912621359
61,1.0,,ovr,5,auto,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
62,4.0,balanced,ovo,5,scale,linear,0.14262713840881133,0.2438908735013947,0.8414115011202389
63,4.0,balanced,ovo,3,auto,sigmoid,0.11233626332240494,0.1975184192850982,0.8182038834951456
64,2.0,,ovo,2,auto,sigmoid,0.0,0.0,0.0
65,2.0,balanced,ovr,2,scale,rbf,0.21670521072138538,0.32457439792313686,0.6498879761015683
66,2.0,,ovo,5,auto,poly,0.0,0.0,0.0
67,0.1,balanced,ovr,2,scale,rbf,0.1558369322771069,0.2604149736190028,0.7951269604182226
68,0.5,balanced,ovo,5,auto,poly,0.008892689183411715,0.017028243962341386,0.2
69,0.5,balanced,ovr,2,auto,linear,0.13301415822667031,0.22977341374563381,0.8433905899925316
70,1.0,,ovr,5,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
71,0.5,balanced,ovo,2,auto,sigmoid,0.11410982736496275,0.19080998998664522,0.6015123226288275
72,2.0,balanced,ovo,2,auto,linear,0.14031004307930953,0.2403416086791515,0.8375466766243465
73,1.0,,ovr,5,auto,poly,0.0,0.0,0.0
74,0.5,,ovr,3,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
75,1.0,balanced,ovr,3,auto,rbf,0.10558954903647896,0.18694039327532425,0.8162994772218072
76,4.0,,ovr,5,scale,linear,0.9707070707070706,0.2597875546992551,0.1508775205377147
77,1.0,balanced,ovr,3,auto,sigmoid,0.09963126034386154,0.17635646169442956,0.7698842419716206
78,0.5,balanced,ovo,2,auto,linear,0.13301415822667031,0.22977341374563381,0.8433905899925316
79,0.1,balanced,ovo,5,auto,rbf,0.17457384659528938,0.19150228972925465,0.2939507094846901
80,0.1,balanced,ovo,3,scale,linear,0.1214729112575585,0.21190567362423396,0.8298543689320388
81,0.1,,ovo,5,scale,rbf,1.0,0.26056638504873375,0.1508775205377147
82,0.5,,ovo,5,auto,poly,0.0,0.0,0.0
83,1.0,,ovr,3,scale,poly,0.8360979174278407,0.26584166156534567,0.158588498879761
84,4.0,,ovo,3,auto,rbf,0.9818181818181818,0.26025587425848373,0.1508775205377147
85,0.5,,ovr,3,auto,sigmoid,0.0,0.0,0.0
86,4.0,,ovo,5,scale,rbf,0.8651483253588518,0.28343953211021217,0.17022031366691562
87,1.0,balanced,ovr,5,auto,sigmoid,0.09965396181945746,0.17639277880886975,0.7698842419716206
88,2.0,,ovo,3,auto,poly,0.0,0.0,0.0
89,0.1,balanced,ovr,2,auto,rbf,0.17457384659528938,0.19150228972925465,0.2939507094846901
90,1.0,balanced,ovo,2,auto,poly,0.008892689183411715,0.017028243962341386,0.2
91,4.0,balanced,ovo,5,auto,rbf,0.11904478570218666,0.20795167351134586,0.8221060492905152
92,2.0,balanced,ovo,5,scale,linear,0.14035544483202833,0.24040824409432499,0.8375466766243465
93,0.1,,ovo,2,scale,rbf,1.0,0.26056638504873375,0.1508775205377147
94,1.0,balanced,ovr,2,scale,rbf,0.19803991090499345,0.30889152081363747,0.7041635548917102
95,1.0,balanced,ovo,5,scale,linear,0.13597402865122157,0.23394003147880443,0.8375466766243465
96,1.0,,ovr,3,scale,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
97,0.1,,ovr,3,auto,linear,0.9818181818181818,0.26025587425848373,0.1508775205377147
98,0.5,balanced,ovr,2,auto,sigmoid,0.11410982736496275,0.19080998998664522,0.6015123226288275
99,1.0,,ovo,2,auto,rbf,0.0,0.0,0.0
