,Strana,MinMajRate,HlasovaniId
0,ANO,0.0,67018
1,KDU-ČSL,0.0,67018
2,KSČM,0.0,67018
3,ODS,0.0,67018
4,Piráti,0.0,67018
5,SPD,0.0,67018
6,STAN,0.0,67018
7,TOP09,0.0,67018
8,ČSSD,0.0,67018
9,ANO,0.0,67019
10,KDU-ČSL,0.0,67019
11,KSČM,0.0,67019
12,ODS,0.0,67019
13,Piráti,0.0,67019
14,SPD,0.0,67019
15,STAN,0.0,67019
16,TOP09,0.0,67019
17,ČSSD,0.0,67019
18,ANO,0.0,67020
19,KDU-ČSL,0.0,67020
20,KSČM,0.0,67020
21,ODS,0.0,67020
22,ODS,0.047619047619047616,67020
23,Piráti,0.0,67020
24,SPD,0.0,67020
25,SPD,0.05,67020
26,STAN,0.0,67020
27,TOP09,0.0,67020
28,TOP09,0.2,67020
29,ČSSD,0.0,67020
30,ČSSD,0.625,67020
31,ANO,0.0,67021
32,KDU-ČSL,0.0,67021
33,KSČM,0.0,67021
34,ODS,0.0,67021
35,ODS,0.5,67021
36,Piráti,0.0,67021
37,SPD,0.0,67021
38,STAN,0.0,67021
39,TOP09,0.0,67021
40,ČSSD,0.0,67021
41,ČSSD,0.8333333333333334,67021
42,ANO,0.0,67022
43,KDU-ČSL,0.0,67022
44,KSČM,0.0,67022
45,ODS,0.0,67022
46,Piráti,0.0,67022
47,SPD,0.0,67022
48,STAN,0.0,67022
49,TOP09,0.0,67022
50,TOP09,0.16666666666666666,67022
51,ČSSD,0.0,67022
52,ANO,0.0,67023
53,KDU-ČSL,0.0,67023
54,KSČM,0.0,67023
55,ODS,0.0,67023
56,Piráti,0.0,67023
57,SPD,0.0,67023
58,STAN,0.0,67023
59,TOP09,0.0,67023
60,ČSSD,0.0,67023
61,ANO,0.0,67024
62,KDU-ČSL,0.0,67024
63,KSČM,0.0,67024
64,ODS,0.0,67024
65,Piráti,0.0,67024
66,SPD,0.0,67024
67,STAN,0.0,67024
68,TOP09,0.0,67024
69,ANO,0.0,67025
70,KDU-ČSL,0.0,67025
71,KSČM,0.0,67025
72,ODS,0.0,67025
73,Piráti,0.0,67025
74,Piráti,0.05,67025
75,SPD,0.0,67025
76,STAN,0.0,67025
77,TOP09,0.0,67025
78,ČSSD,0.0,67025
79,ANO,0.0,67026
80,ANO,0.045454545454545456,67026
81,KDU-ČSL,0.0,67026
82,KSČM,0.0,67026
83,ODS,0.0,67026
84,Piráti,0.0,67026
85,SPD,0.0,67026
86,STAN,0.0,67026
87,TOP09,0.0,67026
88,ČSSD,0.0,67026
89,ANO,0.0,67027
90,KDU-ČSL,0.0,67027
91,KDU-ČSL,0.75,67027
92,KSČM,0.0,67027
93,ODS,0.0,67027
94,ODS,0.05555555555555555,67027
95,Piráti,0.0,67027
96,SPD,0.0,67027
97,STAN,0.0,67027
98,TOP09,0.0,67027
99,TOP09,0.5,67027
100,ČSSD,0.0,67027
101,ANO,0.0,67028
102,KDU-ČSL,0.0,67028
103,KSČM,0.0,67028
104,ODS,0.0,67028
105,Piráti,0.0,67028
106,SPD,0.0,67028
107,STAN,0.0,67028
108,TOP09,0.0,67028
109,ČSSD,0.0,67028
110,ANO,0.0,67029
111,KDU-ČSL,0.0,67029
112,KSČM,0.0,67029
113,ODS,0.0,67029
114,Piráti,0.0,67029
115,SPD,0.0,67029
116,STAN,0.0,67029
117,TOP09,0.0,67029
118,ČSSD,0.0,67029
119,ANO,0.0,67030
120,KDU-ČSL,0.0,67030
121,KSČM,0.0,67030
122,ODS,0.0,67030
123,Piráti,0.0,67030
124,SPD,0.0,67030
125,STAN,0.0,67030
126,TOP09,0.0,67030
127,ČSSD,0.0,67030
128,ANO,0.0,67031
129,KDU-ČSL,0.0,67031
130,KSČM,0.0,67031
131,ODS,0.0,67031
132,Piráti,0.0,67031
133,SPD,0.0,67031
134,STAN,0.0,67031
135,TOP09,0.0,67031
136,ČSSD,0.0,67031
137,ANO,0.0,67032
138,KDU-ČSL,0.0,67032
139,KSČM,0.0,67032
140,ODS,0.0,67032
141,Piráti,0.0,67032
142,SPD,0.0,67032
143,STAN,0.0,67032
144,TOP09,0.0,67032
145,ČSSD,0.0,67032
146,ANO,0.0,67033
147,KDU-ČSL,0.0,67033
148,KSČM,0.0,67033
149,ODS,0.0,67033
150,Piráti,0.0,67033
151,SPD,0.0,67033
152,STAN,0.0,67033
153,TOP09,0.0,67033
154,ČSSD,0.0,67033
155,ANO,0.0,67034
156,KDU-ČSL,0.0,67034
157,KSČM,0.0,67034
158,ODS,0.0,67034
159,Piráti,0.0,67034
160,SPD,0.0,67034
161,STAN,0.0,67034
162,TOP09,0.0,67034
163,ČSSD,0.0,67034
164,ANO,0.0,67035
165,KDU-ČSL,0.0,67035
166,KSČM,0.0,67035
167,ODS,0.0,67035
168,Piráti,0.0,67035
169,SPD,0.0,67035
170,STAN,0.0,67035
171,TOP09,0.0,67035
172,ČSSD,0.0,67035
173,ANO,0.0,67036
174,KDU-ČSL,0.0,67036
175,KSČM,0.0,67036
176,ODS,0.0,67036
177,Piráti,0.0,67036
178,SPD,0.0,67036
179,STAN,0.0,67036
180,TOP09,0.0,67036
181,ČSSD,0.0,67036
182,ANO,0.0,67037
183,KDU-ČSL,0.0,67037
184,KSČM,0.0,67037
185,ODS,0.0,67037
186,Piráti,0.0,67037
187,SPD,0.0,67037
188,STAN,0.0,67037
189,TOP09,0.0,67037
190,ČSSD,0.0,67037
191,ANO,0.0,67038
192,KDU-ČSL,0.0,67038
193,KSČM,0.0,67038
194,ODS,0.0,67038
195,Piráti,0.0,67038
196,SPD,0.0,67038
197,STAN,0.0,67038
198,TOP09,0.0,67038
199,ČSSD,0.0,67038
200,ANO,0.0,67039
201,KDU-ČSL,0.0,67039
202,KSČM,0.0,67039
203,ODS,0.0,67039
204,Piráti,0.0,67039
205,SPD,0.0,67039
206,STAN,0.0,67039
207,TOP09,0.0,67039
208,ČSSD,0.0,67039
209,ANO,0.0,67040
210,KDU-ČSL,0.0,67040
211,KSČM,0.0,67040
212,ODS,0.0,67040
213,Piráti,0.0,67040
214,SPD,0.0,67040
215,STAN,0.0,67040
216,TOP09,0.0,67040
217,ČSSD,0.0,67040
218,ANO,0.0,67041
219,KDU-ČSL,0.0,67041
220,KSČM,0.0,67041
221,ODS,0.0,67041
222,Piráti,0.0,67041
223,SPD,0.0,67041
224,STAN,0.0,67041
225,TOP09,0.0,67041
226,ČSSD,0.0,67041
227,ANO,0.0,67042
228,KDU-ČSL,0.0,67042
229,KSČM,0.0,67042
230,ODS,0.0,67042
231,Piráti,0.0,67042
232,SPD,0.0,67042
233,STAN,0.0,67042
234,TOP09,0.0,67042
235,ČSSD,0.0,67042
236,ANO,0.0,67043
237,KDU-ČSL,0.0,67043
238,KSČM,0.0,67043
239,ODS,0.0,67043
240,Piráti,0.0,67043
241,SPD,0.0,67043
242,STAN,0.0,67043
243,TOP09,0.0,67043
244,ČSSD,0.0,67043
245,ANO,0.0,67044
246,KDU-ČSL,0.0,67044
247,KSČM,0.0,67044
248,ODS,0.0,67044
249,Piráti,0.0,67044
250,SPD,0.0,67044
251,STAN,0.0,67044
252,TOP09,0.0,67044
253,ČSSD,0.0,67044
254,ANO,0.0,67045
255,KDU-ČSL,0.0,67045
256,KSČM,0.0,67045
257,ODS,0.0,67045
258,Piráti,0.0,67045
259,SPD,0.0,67045
260,STAN,0.0,67045
261,TOP09,0.0,67045
262,ČSSD,0.0,67045
263,ANO,0.0,67046
264,KDU-ČSL,0.0,67046
265,KSČM,0.0,67046
266,ODS,0.0,67046
267,ODS,0.045454545454545456,67046
268,Piráti,0.0,67046
269,SPD,0.0,67046
270,STAN,0.0,67046
271,TOP09,0.0,67046
272,ČSSD,0.0,67046
273,ANO,0.0,67047
274,KDU-ČSL,0.0,67047
275,KSČM,0.0,67047
276,ODS,0.0,67047
277,Piráti,0.0,67047
278,SPD,0.0,67047
279,STAN,0.0,67047
280,TOP09,0.0,67047
281,ČSSD,0.0,67047
282,ANO,0.0,67048
283,KDU-ČSL,0.0,67048
284,KSČM,0.0,67048
285,ODS,0.0,67048
286,Piráti,0.0,67048
287,SPD,0.0,67048
288,STAN,0.0,67048
289,TOP09,0.0,67048
290,ČSSD,0.0,67048
291,ANO,0.0,67049
292,KDU-ČSL,0.0,67049
293,KSČM,0.0,67049
294,ODS,0.0,67049
295,Piráti,0.0,67049
296,SPD,0.0,67049
297,STAN,0.0,67049
298,TOP09,0.0,67049
299,ČSSD,0.0,67049
300,ANO,0.0,67050
301,KDU-ČSL,0.0,67050
302,KSČM,0.0,67050
303,ODS,0.0,67050
304,Piráti,0.0,67050
305,SPD,0.0,67050
306,STAN,0.0,67050
307,TOP09,0.0,67050
308,ČSSD,0.0,67050
309,ANO,0.0,67051
310,KDU-ČSL,0.0,67051
311,KSČM,0.0,67051
312,ODS,0.0,67051
313,Piráti,0.0,67051
314,SPD,0.0,67051
315,STAN,0.0,67051
316,TOP09,0.0,67051
317,ČSSD,0.0,67051
318,ANO,0.0,67052
319,KDU-ČSL,0.0,67052
320,KSČM,0.0,67052
321,ODS,0.0,67052
322,Piráti,0.0,67052
323,SPD,0.0,67052
324,STAN,0.0,67052
325,TOP09,0.0,67052
326,ČSSD,0.0,67052
327,ANO,0.0,67053
328,KDU-ČSL,0.0,67053
329,KSČM,0.0,67053
330,ODS,0.0,67053
331,Piráti,0.0,67053
