,Name,Cnt
0,Stanislav Blaha,75
1,Ondřej Veselý,141
2,Kateřina Valachová,198
3,Antonín Staněk,209
4,Jan Chvojka,260
5,Jaroslav Foldyna,220
6,Karel Schwarzenberg,40
7,Marian Bojko,63
8,Lubomír Volný,44
9,Radovan Vích,24
10,Lubomír Španěl,39
11,Radek Rozvoral,40
12,Miloslav Rozner,37
13,Zdeněk Podal,32
14,Tomio Okamura,40
15,Ivana Nevludová,49
16,Karla Maříková,36
17,Jana Levová,15
18,Radek Koten,39
19,Jiří Kohoutek,39
20,Jiří Kobza,27
21,Pavel Jelínek,30
22,Tereza Hyťhová,33
23,Jan Hrnčíř,36
24,Jaroslav Holík,33
25,Radim Fiala,25
26,Jaroslav Dvořák,32
27,Jan Skopeček,81
28,Jaroslav Martinů,88
29,Václav Klaus,94
30,Petr Beitl,81
31,Roman Onderka,210
32,Tomáš Hanzel,166
33,Petr Dolínek,222
34,Jan Birke,270
35,Lukáš Kolářík,68
36,Helena Válková,258
37,Karel Tureček,337
38,Dan Ťok,130
39,David Štolpa,337
40,Julius Špičák,295
41,Karla Šlechtová,231
42,Jiří Strýček,399
43,Martin Stropnický,35
44,Pavel Staněk,131
45,Petr Sadovský,355
46,Jan Řehounek,298
47,Pavel Růžička,397
48,Miloslava Rutová,353
49,Michal Ratiborský,364
50,Karel Rais,423
51,David Pražák,373
52,Jaroslava Pokorná Jermanová,1
53,Adam Vojtěch,300
54,Pavel Plzák,322
55,Jan Volný,265
56,Ivo Vondrák,248
57,Radek Zlesák,293
58,Petr Vrána,305
59,Radek Vondráček,234
60,Jana Pastuchová,331
61,Milan Hnilička,338
62,Jiří Hlavatý,1
63,Stanislav Fridrich,349
64,Eva Fialová,359
65,Milan Feranec,450
66,Kamal Farhan,366
67,Lenka Dražilová,339
68,Klára Dostálová,274
69,Jaroslav Bžoch,311
70,Andrea Brzobohatá,369
71,Milan Brázdil,355
72,Jiří Bláha,244
73,Stanislav Berkovec,417
74,Josef Bělica,354
75,Margita Balaštíková,362
76,Andrea Babišová,274
77,Ivan Jáč,394
78,Robert Pelikán,50
