Title,Date,TotalResult,Id
Novela z. o volbách do Parlamentu ČR,,accepted,67599.0
Novela z. o volbách do Parlamentu ČR,,accepted,67598.0
Pozice vlády České republiky k událostem v Sýrii,,rejected,67597.0
Pozice vlády České republiky k událostem v Sýrii,,rejected,67596.0
Pozice vlády České republiky k událostem v Sýrii,,rejected,67595.0
Pozice vlády České republiky k událostem v Sýrii,,accepted,67594.0
Pozice vlády České republiky k událostem v Sýrii,,accepted,67593.0
Pozice vlády České republiky k událostem v Sýrii,,accepted,67592.0
Pozice vlády České republiky k událostem v Sýrii,,accepted,67591.0
Pozice vlády České republiky k událostem v Sýrii,,accepted,67590.0
Pozice vlády České republiky k událostem v Sýrii,,rejected,67589.0
Pořad schůze,,accepted,67588.0
Pořad schůze,,accepted,67587.0
Pořad schůze,,accepted,67586.0
Pořad schůze,,accepted,67585.0
Pořad schůze,,accepted,67584.0
Pořad schůze,,accepted,67583.0
Novela z. o volbách do Parlamentu ČR,,accepted,67582.0
Novela z. o volbách do Parlamentu ČR,,rejected,67581.0
Novela z. o pomoci v hmotné nouzi,,accepted,67580.0
Novela z. o pomoci v hmotné nouzi,,accepted,67579.0
Novela z. o pomoci v hmotné nouzi,,accepted,67578.0
Novela z. - občanský soudní řád,,accepted,67577.0
Novela z. o nemocenském pojištění,,accepted,67576.0
Novela z. o nemocenském pojištění,,accepted,67575.0
Novela z. o nemocenském pojištění,,accepted,67574.0
Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU,,accepted,67573.0
Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU,,rejected,67572.0
Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU,,accepted,67571.0
Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU,,accepted,67570.0
Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU,,accepted,67569.0
Pořad schůze,,accepted,67568.0
Pořad schůze,,accepted,67567.0
Novela z. o některých přestupcích,,accepted,67566.0
Novela z. o směnárenské činnosti,,accepted,67565.0
Novela z. o směnárenské činnosti,,accepted,67564.0
Novela z. o směnárenské činnosti,,accepted,67563.0
Novela z. o směnárenské činnosti,,rejected,67562.0
Novela z. o směnárenské činnosti,,accepted,67561.0
Novela z. o daních z příjmů,,accepted,67560.0
Novela z. o daních z příjmů,,rejected,67559.0
Písemná interpelace J. Michálka na A. Babiše ve věci neutěšených platů,,rejected,67558.0
Novela z. o daních z příjmů,,accepted,67557.0
Novela z. - trestní řád,,accepted,67556.0
Novela z. o majetku České republiky,,accepted,67555.0
Novela z. o majetku České republiky,,accepted,67554.0
Novela ústav. z. - Ústava ČR,,accepted,67553.0
Novela z. - školský zákon,,rejected,67552.0
Novela z. - školský zákon,,rejected,67551.0
Novela z. - školský zákon,,rejected,67550.0
Novela z. - školský zákon,,accepted,67549.0
Novela z. - školský zákon,,rejected,67548.0
Návrh na změny ve složení orgánů Poslanecké sněmovny,,accepted,67547.0
Návrh na změny ve složení orgánů Poslanecké sněmovny,,accepted,67546.0
Novela z. - vodní zákon - EU,,accepted,67545.0
Novela z. - vodní zákon - EU,,accepted,67544.0
Novela z. - vodní zákon - EU,,rejected,67543.0
Novela z. - vodní zákon - EU,,rejected,67542.0
Novela z. - vodní zákon - EU,,rejected,67541.0
Novela z. - vodní zákon - EU,,rejected,67540.0
Novela z. - vodní zákon - EU,,rejected,67539.0
Novela z. - vodní zákon - EU,,rejected,67538.0
Novela z. - vodní zákon - EU,,rejected,67537.0
Novela z. - vodní zákon - EU,,rejected,67536.0
Novela z. - vodní zákon - EU,,accepted,67535.0
Novela z. - vodní zákon - EU,,rejected,67534.0
Novela z. - vodní zákon - EU,,accepted,67533.0
Novela z. - vodní zákon - EU,,accepted,67532.0
Novela z. - vodní zákon - EU,,rejected,67531.0
Novela z. - vodní zákon - EU,,accepted,67530.0
Novela z. - vodní zákon - EU,,accepted,67529.0
Novela z. - vodní zákon - EU,,accepted,67528.0
Novela z. - vodní zákon - EU,,accepted,67527.0
Novela z. - vodní zákon - EU,,rejected,67526.0
Vl. n. z. o podmínkách využív. gen. zdrojů podle Nagoj. prot. - EU,,accepted,67525.0
Vl. n. z. o podmínkách využív. gen. zdrojů podle Nagoj. prot. - EU,,accepted,67524.0
Novela z. o střetu zájmů,,accepted,67523.0
Pořad schůze,,accepted,67522.0
Pořad schůze,,accepted,67521.0
Pořad schůze,,accepted,67520.0
Pořad schůze,,accepted,67519.0
Pořad schůze,,accepted,67518.0
<br/>,,accepted,67517.0
Pořad schůze,,accepted,67516.0
Pořad schůze,,accepted,67515.0
Pořad schůze,,rejected,67514.0
<br/>,,accepted,67513.0
<br/>,,accepted,67511.0
<br/>,,accepted,67511.0
Zpráva o peticích za období od 1. 7. 2017 do 31. 12. 2017,,accepted,67510.0
Vl.n.z.o změně zák.v souv.s přij. z. o znalcích a soud.tlum. - EU,,accepted,67799.0
Vl.n.z.o změně zák.v souv.s přij. z. o znalcích a soud.tlum. - EU,,accepted,67798.0
Vl.n.z.o změně zák.v souv.s přij. z. o znalcích a soud.tlum. - EU,,rejected,67797.0
Vl.n.z. o soudních tlumočnících a soudních překladatelích - EU,,accepted,67796.0
Vl.n.z. o soudních tlumočnících a soudních překladatelích - EU,,accepted,67795.0
Vl.n.z. o soudních tlumočnících a soudních překladatelích - EU,,rejected,67794.0
"Vl.n.z. o znalcích, znaleckých kanc. a znaleckých ústavech - EU",,accepted,67793.0
"Vl.n.z. o znalcích, znaleckých kanc. a znaleckých ústavech - EU",,accepted,67792.0
Vl.n.z. o přístupnosti internetových stránek a mob. aplikací - EU,,accepted,67791.0
Novela z.o ochraně zdr.před škodlivými účinky návyk.látek,,accepted,67790.0
